Class,STRUTS_2_0_10,STRUTS_2_0_14,STRUTS_2_1_0,STRUTS_2_1_8,STRUTS_2_2_0,STRUTS_2_2_3,STRUTS_2_3_1,STRUTS_2_3_10,STRUTS_2_3_20,STRUTS_2_3_30,STRUTS_2_3_37,STRUTS_2_5,STRUTS_2_5_10,STRUTS_2_5_20,STRUTS_2_5_30,STRUTS_6_0_0,average
core/src/main/java/com/opensymphony/xwork2/ognl/OgnlUtil.java,0,0,0,0,0,0,0,0,0,0,0,594,64,151,96,268,73.3125
plugins/sitegraph/src/main/java/org/apache/struts2/sitegraph/model/Graph.java,91,0,0,1,0,0,22,0,0,0,0,0,0,3,0,85,12.625
core/src/test/java/com/opensymphony/xwork2/util/Foo.java,0,0,0,0,0,0,0,0,0,0,0,218,0,54,0,16,18
core/src/main/java/org/apache/struts2/dispatcher/LocalizedMessage.java,0,0,0,0,0,0,0,0,0,0,0,0,104,3,0,0,6.6875
plugins/portlet/src/test/java/org/apache/struts2/portlet/MockPortletRequest.java,185,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.125
plugins/embeddedjsp/src/main/java/org/apache/struts2/el/parser/AstMinus.java,0,0,0,0,42,0,0,0,0,0,0,0,0,29,0,0,4.4375
plugins/velocity/src/test/java/org/apache/struts2/views/velocity/template/VelocityTemplateEngineTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5.25
plugins/jsf/src/main/java/org/apache/struts2/jsf/RestoreViewInterceptor.java,228,0,0,1,0,0,0,0,0,0,0,229,0,0,0,0,28.625
trunk/core/src/test/java/org/apache/struts2/interceptor/TokenInterceptorTest.java,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
trunk/core/src/main/java/org/apache/struts2/plexus/PlexusLifecycleListener.java,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
trunk/api/src/main/java/org/apache/struts2/ResultNames.java,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25
xwork-core/src/test/java/com/opensymphony/xwork2/interceptor/PrefixMethodInvocationUtilTest.java,0,0,0,0,292,0,0,0,0,0,0,292,0,0,0,0,36.5
plugins/velocity/src/main/java/org/apache/struts2/views/velocity/components/TextDirective.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2.5
plugins/velocity/src/main/java/org/apache/struts2/views/velocity/components/ComboBoxDirective.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2.5
trunk/core/src/test/java/org/apache/struts2/interceptor/StrutsConversionErrorInterceptorTest.java,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.875
plugins/convention/src/test/java/org/apache/struts2/convention/actions/parentpackage/package-info.java,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,1.5625
core/src/main/java/com/opensymphony/xwork2/util/XWorkList.java,0,0,0,0,0,0,0,0,0,0,0,248,0,248,0,0,31
xwork-core/src/test/java/com/opensymphony/xwork2/config/providers/XmlConfigurationProviderWildCardIncludeTest.java,0,0,0,0,48,0,2,0,0,0,0,48,0,0,0,0,6.125
plugins/javatemplates/src/main/java/org/apache/struts2/views/java/simple/CheckboxListHandler.java,0,0,0,0,0,104,0,28,87,0,0,0,0,29,0,2,15.625
trunk/apps/portlet/src/main/java/org/apache/struts2/portlet/example/FormExample.java,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
core/src/main/java/org/apache/struts2/views/velocity/components/ActionErrorDirective.java,29,0,0,1,0,0,0,0,0,0,0,0,0,3,0,40,4.5625
plugins/rest/src/main/java/org/apache/struts2/rest/handler/FormUrlEncodedHandler.java,0,0,0,60,0,0,0,0,0,0,18,10,0,10,0,0,6.125
core/src/main/java/org/apache/struts2/views/freemarker/tags/PasswordModel.java,29,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2.0625
core/src/main/java/com/opensymphony/xwork2/spring/SpringObjectFactory.java,0,0,0,0,0,0,0,0,0,0,0,285,0,34,0,293,38.25
plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsTilesLocaleResolver.java,0,0,0,0,0,0,0,0,0,0,0,54,0,7,0,0,3.8125
trunk/core/src/main/java/org/apache/struts2/components/Component.java,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9375
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/velocity/components/AnchorDirective.java,46,46,46,3,0,0,0,0,0,0,0,47,0,0,0,0,11.75
core/src/main/java/com/opensymphony/xwork2/validator/validators/ConditionalVisitorFieldValidator.java,0,0,0,0,0,0,0,0,0,0,0,84,0,24,0,0,6.75
plugins/bean-validation/src/test/java/org/apache/struts/beanvalidation/constraints/impl/FieldMatchValidatorTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5.25
plugins/portlet-mocks/src/main/java/org/apache/struts2/mock/web/portlet/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2.1875
core/src/test/java/com/opensymphony/xwork2/CompositeTextProviderTest.java,0,0,0,0,0,0,0,0,0,0,0,102,20,58,0,2,11.375
trunk/core/src/main/java/org/apache/struts2/views/velocity/components/AbstractDirective.java,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.875
trunk/core/src/main/java/org/apache/struts2/views/freemarker/tags/IteratorModel.java,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375
