Class,rel/0.18.0,rel/0.19.0,rel/0.20.0,rel/0.90.0,rel/0.92.0,rel/0.94.0,rel/0.96.0,rel/0.98.0,rel/0.99.0,rel/1.0.0,rel/1.1.0,rel/1.2.0,rel/1.3.0,rel/1.4.0,rel/1.5.0,rel/1.6.0,rel/1.7.0,rel/2.0.0,rel/2.1.0,rel/2.2.0,rel/2.3.0,rel/2.4.0,rel/3.0.0-alpha-1,rel/3.0.0-alpha-3,average
hbase-server/src/test/java/org/apache/hadoop/hbase/mapred/TestSplitTable.java,0,0,0,0,0,0,0,88,73,2,0,0,0,8,0,0,0,111,0,0,0,0,0,0,11.75
src/main/java/org/apache/hadoop/hbase/ipc/ProtocolSignature.java,0,0,0,0,241,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08333333
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/storefiletracker/StoreFileTrackerBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,8.583333333
trunk/src/main/java/org/apache/hadoop/hbase/util/FSUtils.java,0,0,0,667,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.58333333
hbase-server/src/main/java/org/apache/hadoop/hbase/zookeeper/SplitOrMergeTracker.java,0,0,0,0,0,0,0,0,0,0,0,0,151,2,0,0,0,149,0,0,0,0,0,0,12.58333333
src/main/java/org/apache/hadoop/hbase/mapred/GroupingTableMap.java,0,0,0,162,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5
hbase-server/src/test/java/org/apache/hadoop/hbase/procedure/TestFailedProcCleanup.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,99,0,5,4,0,0,32,11.45833333
src/main/java/org/apache/hadoop/hbase/regionserver/FlushRequester.java,0,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
hbase-common/src/main/java/org/apache/hadoop/hbase/io/DeallocateRewriteByteBuffAllocator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2.458333333
src/main/java/org/apache/hadoop/hbase/mapreduce/RowCounter.java,0,0,0,136,8,65,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/snapshot/TestMobExportSnapshot.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,3,5,0,0,6,3.416666667
src/test/org/apache/hadoop/hbase/client/TestOldAPITimestamp.java,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.916666667
hbase-rest/src/test/java/org/apache/hadoop/hbase/rest/TestMultiRowResource.java,0,0,0,0,0,0,0,0,0,182,0,0,34,72,61,27,0,94,0,35,31,0,18,38,24.66666667
hbase-client/src/main/java/org/apache/hadoop/hbase/zookeeper/EmptyWatcher.java,0,0,0,0,0,0,34,0,0,2,0,0,0,1,0,0,0,35,0,0,0,0,0,0,3
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestAsyncTableRegionReplicasGet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2,2.375
trunk/src/test/java/org/apache/hadoop/hbase/io/hfile/RandomDistribution.java,0,0,0,271,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58333333
hbase-it/src/test/java/org/apache/hadoop/hbase/IntegrationTestIngestWithTags.java,0,0,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2.916666667
hbase-server/src/main/java/org/apache/hadoop/hbase/util/RowPrefixFixedLengthBloomContext.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,13,2.958333333
hbase-common/src/main/java/org/apache/hadoop/hbase/ByteBufferTag.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,12,3.958333333
hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/QuotaSnapshotStore.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,39,5.291666667
src/main/java/org/apache/hadoop/hbase/regionserver/RSDumpServlet.java,0,0,0,0,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.083333333
trunk/src/main/java/org/apache/hadoop/hbase/mapred/IdentityTableMap.java,0,0,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333333333
src/test/java/org/apache/hadoop/hbase/constraint/TestConstraint.java,0,0,0,0,0,262,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.83333333
hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/metrics/MBeanSourceImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,2.041666667
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MasterFifoRpcSchedulerFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,4,2
hbase-client/src/main/java/org/apache/hadoop/hbase/client/trace/TableOperationSpanBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,8.75
trunk/src/test/java/org/apache/hadoop/hbase/client/TestTimestampsFilter.java,0,0,0,342,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/protobuf/generated/ColumnAggregationWithNullResponseProtos.java,0,0,0,0,0,0,0,0,1270,0,0,0,315,0,0,0,0,1283,0,0,0,0,0,0,119.5
hbase-server/src/test/java/org/apache/hadoop/hbase/util/TestMiniClusterLoadEncoded.java,0,0,0,0,0,0,52,0,0,2,0,0,0,0,0,0,0,39,0,0,4,0,0,17,4.75
hbase-rest/src/test/java/org/apache/hadoop/hbase/rest/model/TestColumnSchemaModel.java,0,0,0,0,0,0,0,0,0,77,0,0,0,18,0,0,0,35,0,0,0,0,0,21,6.291666667
hbase-server/src/test/java/org/apache/hadoop/hbase/rsgroup/VerifyingRSGroupAdmin.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,53,41.16666667
src/main/java/org/apache/hadoop/hbase/MasterNotRunningException.java,0,0,0,49,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.083333333
hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/NoopOperationQuota.java,0,0,0,0,0,0,0,0,0,0,76,0,5,0,2,0,0,32,0,0,0,0,5,11,5.458333333
hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureSimpleRunQueue.java,0,0,0,0,0,0,0,0,0,0,121,8,0,0,0,0,0,121,0,0,0,0,0,0,10.41666667
hbase-client/src/main/java/org/apache/hadoop/hbase/client/ConnectionManager.java,0,0,0,0,0,0,0,0,2619,236,267,146,138,151,101,13,189,2868,0,0,0,0,0,0,280.3333333
hbase-server/src/test/java/org/apache/hadoop/hbase/wal/WALPerformanceEvaluation.java,0,0,0,0,0,0,0,0,0,587,0,17,6,92,0,0,0,284,23,0,15,0,78,138,51.66666667
trunk/src/main/java/org/apache/hadoop/hbase/rest/model/ScannerModel.java,0,0,0,628,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.33333333
hbase-server/src/test/java/org/apache/hadoop/hbase/snapshot/TestFlushSnapshotFromClient.java,0,0,0,0,0,0,547,50,199,35,0,47,0,0,111,0,0,265,0,0,112,0,89,60,63.125
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionMergeRequest.java,0,0,0,0,0,0,139,0,10,2,13,21,0,0,1,0,0,154,0,0,0,0,0,0,14.16666667
src/main/java/org/apache/hadoop/hbase/rest/client/RemoteHTable.java,0,0,0,621,25,14,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.83333333
hbase-balancer/src/main/java/org/apache/hadoop/hbase/master/balancer/WriteRequestCostFunction.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,1.833333333
src/test/java/org/apache/hadoop/hbase/regionserver/TestHRegionOnCluster.java,0,0,0,0,0,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16666667
hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestProcedureFuture.java,0,0,0,0,0,0,0,0,0,0,185,0,0,0,24,0,0,65,0,0,0,0,188,0,19.25
hbase-server/src/main/java/org/apache/hadoop/hbase/mapreduce/hadoopbackport/JarFinder.java,0,0,0,0,0,0,170,0,31,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.66666667
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,2,0,0,0,0,0,15,2.583333333
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/bucket/IOEngine.java,0,0,0,0,0,0,65,0,8,4,0,0,0,0,0,0,0,33,0,0,14,0,0,45,7.041666667
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestMobRestoreSnapshotFromClientSchemaChange.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,10,3.458333333
src/main/java/org/apache/hadoop/hbase/rest/ScannerResultGenerator.java,0,0,0,178,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83333333
