Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,average
activemq-unit-tests/src/test/java/org/apache/activemq/usecases/TwoBrokerQueueSendReceiveTest.java,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,3.157894737
activemq-core/src/test/java/org/apache/activemq/OnePrefetchAsyncConsumerTest.java,0,0,0,0,0,214,8,41,0,223,0,0,0,0,0,0,0,0,0,25.57894737
activemq-broker/src/main/java/org/apache/activemq/advisory/DestinationFilterVirtualDestinationMatcher.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,2.789473684
activemq-core/src/main/java/org/apache/activemq/transport/discovery/rendezvous/JmDNSFactory.java,11,36,3,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,6.052631579
activemq-runtime-config/src/main/java/org/apache/activemq/plugin/AuthorizationPluginProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,1,0,0,4.105263158
activeio/activeio-core/src/main/java/org/apache/activeio/adapter/AsyncChannelToOutputStream.java,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.789473684
activemq-core/src/main/java/org/apache/activemq/transport/stomp/StompWireFormatFactory.java,17,3,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2.578947368
activemq-client/src/main/java/org/apache/activemq/transport/TransportServerThreadSupport.java,0,0,0,0,0,0,0,0,0,99,0,3,0,0,0,0,0,0,0,5.368421053
activemq-core/src/test/java/org/apache/activemq/broker/RecoveryBrokerTest.java,15,288,3,62,0,0,2,12,0,586,0,0,0,0,0,0,0,0,0,50.94736842
activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/sasl/AbstractSaslMechanism.java,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,0,0,0,0,2.789473684
activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ2383Test.java,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,3.315789474
activemq-broker/src/main/java/org/apache/activemq/util/BrokerSupport.java,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,13,0,0,0,5.894736842
activemq-core/src/main/java/org/apache/activemq/command/MessageDispatchNotification.java,11,42,0,0,0,0,2,0,0,91,0,0,0,0,0,0,0,0,0,7.684210526
activeio/activeio-core/src/main/java/org/apache/activeio/packet/async/filter/WriteBufferedAsyncChannel.java,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.684210526
activemq-broker/src/main/java/org/apache/activemq/broker/region/SubscriptionStatistics.java,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,5.947368421
activemq-core/src/main/java/org/apache/activemq/openwire/v5/ConnectionIdMarshaller.java,0,0,0,0,129,0,2,0,0,129,0,0,0,0,0,0,0,0,0,13.68421053
activemq-client/src/main/java/org/apache/activemq/openwire/v1/LocalTransactionIdMarshaller.java,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,6.789473684
activemq-core/src/test/java/org/apache/activemq/bugs/JMSDurableTopicNoLocalTest.java,0,0,0,0,0,83,2,0,0,83,0,0,0,0,0,0,0,0,0,8.842105263
activemq-unit-tests/src/test/java/org/apache/activemq/jndi/ActiveMQWASInitialContextFactoryTest.java,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,2.263157895
activemq-core/src/main/java/org/apache/activemq/command/ActiveMQDestination.java,11,297,0,0,0,25,2,23,0,395,0,0,0,0,0,0,0,0,0,39.63157895
activemq-unit-tests/src/test/java/org/apache/activemq/openwire/v4/JournalTopicAckTest.java,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,3.210526316
activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/Stomp11Test.java,0,0,0,0,0,0,0,0,0,1057,121,0,0,177,0,16,69,69,45,81.78947368
activemq-core/src/main/java/org/apache/activemq/openwire/v4/NetworkBridgeFilterMarshaller.java,0,0,0,0,133,0,2,0,0,133,0,0,0,0,0,0,0,0,0,14.10526316
activemq-unit-tests/src/test/java/org/apache/activemq/broker/jmx/SelectiveMBeanRegistrationTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,34,0,22,0,10.78947368
activemq-client/src/main/java/org/apache/activemq/command/FlushCommand.java,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,2.105263158
activemq-unit-tests/src/test/java/org/apache/activemq/openwire/v1/ConsumerControlTest.java,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,2.578947368
activemq-unit-tests/src/test/java/org/apache/activemq/streams/JMSInputStreamTest.java,0,0,0,0,0,0,0,0,0,280,0,1,0,281,0,0,0,0,0,29.57894737
activemq-core/src/main/java/org/apache/activemq/command/ControlCommand.java,11,11,0,0,0,0,2,0,0,52,0,0,0,0,0,0,0,0,0,4
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v8/ConsumerIdMarshaller.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.052631579
assembly/src/release/examples/openwire/exploring-jms/TopicPubSubSamples/DurableChat/DurableChat.java,0,0,0,0,0,0,0,0,0,0,268,551,0,0,0,0,0,283,0,58
activemq-core/src/main/java/org/apache/activemq/transport/LogWriter.java,0,0,85,0,0,0,18,0,0,85,0,0,0,0,0,0,0,0,0,9.894736842
activemq-core/src/test/java/org/apache/activemq/JmsTopicRedeliverTest.java,11,62,0,0,0,0,8,0,0,161,0,0,0,0,0,0,0,0,0,12.73684211
activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedTopicRegion.java,17,16,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,5.210526316
activeio/activeio-core/src/main/java/org/apache/activeio/oneport/UnknownRecognizer.java,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.789473684
activemq-client/src/main/java/org/apache/activemq/command/Command.java,0,0,0,0,0,0,0,0,0,75,0,0,0,6,0,0,0,0,0,4.263157895
activemq-client/src/main/java/org/apache/activemq/management/BoundedRangeStatisticImpl.java,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,2.631578947
activemq-client/src/main/java/org/apache/activemq/ActiveMQSession.java,0,0,0,0,0,0,0,0,0,2080,49,135,0,259,4,0,5,42,4,135.6842105
activemq-core/src/main/java/org/apache/activemq/broker/region/TopicSubscription.java,78,458,144,15,14,147,13,19,84,579,0,0,0,0,0,0,0,0,0,81.63157895
activemq-unit-tests/src/test/java/org/apache/activemq/ZeroPrefetchConsumerTest.java,0,0,0,0,0,0,0,0,0,398,38,0,14,0,0,0,7,0,0,24.05263158
activemq-core/src/main/java/org/apache/activemq/openwire/v3/ConsumerInfoMarshaller.java,0,242,0,0,0,0,2,0,0,242,0,0,0,0,0,0,0,0,0,25.57894737
