Class,Xerces-J_1_1_0,Xerces-J_1_2_0,Xerces-J_1_3_0,Xerces-J_1_4_0,Xerces-J_2_0_0,Xerces-J_2_1_0,Xerces-J_2_2_0,Xerces-J_2_3_0,Xerces-J_2_4_0,Xerces-J_2_5_0,Xerces-J_2_6_0,Xerces-J_2_7_0,Xerces-J_2_8_0,Xerces-J_2_9_0,Xerces-J_2_10_0,Xerces-J_2_11_0,Xerces-J_2_12_0,average
src/org/apache/xerces/util/SymbolTable.java,0,0,0,0,327,22,0,0,0,0,0,244,0,11,4,4,109,42.41176471
src/org/apache/xerces/xs/XSMultiValueFacet.java,0,0,0,0,0,0,0,0,0,0,81,69,3,11,0,7,0,10.05882353
tests/dom/events/DeferredDOM.java,0,0,0,338,338,0,0,0,0,0,0,0,0,0,0,0,0,39.76470588
src/org/apache/xerces/impl/xs/util/XSNamedMapImpl.java,0,0,0,0,0,208,0,8,0,0,2,84,10,11,215,2,0,31.76470588
src/org/apache/xerces/impl/dv/XSUnionSimpleType.java,0,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,9.058823529
src/org/w3c/dom/xpath/XPathResult.java,0,0,0,0,0,0,225,0,0,0,0,225,0,0,0,0,0,26.47058824
src/org/apache/xerces/impl/xs/psvi/XSFacet.java,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,9.647058824
src/org/apache/xerces/parsers/DOMASBuilderImpl.java,0,0,0,0,404,191,0,0,1,39,10,67,0,11,0,0,0,42.52941176
src/org/apache/xerces/validators/schema/SchemaMessageProvider.java,108,0,33,56,251,0,0,0,0,0,0,0,0,0,0,0,0,26.35294118
src/org/apache/xerces/impl/XMLVersionDetector.java,0,0,0,0,0,0,0,682,617,0,133,74,19,11,22,0,0,91.64705882
src/org/apache/xerces/validators/datatype/ConstrainException.java,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.235294118
src/org/apache/wml/WMLNoopElement.java,69,0,0,0,0,0,0,0,0,0,0,67,0,11,0,0,0,8.647058824
src/org/apache/html/dom/HTMLBaseFontElementImpl.java,56,0,2,0,2,0,0,0,0,3,0,73,2,11,0,0,0,8.764705882
src/org/apache/xerces/impl/xs/traversers/XSDUniqueOrKeyTraverser.java,0,0,0,0,119,7,0,0,0,8,0,69,0,15,27,0,0,14.41176471
src/org/apache/xerces/impl/xs/models/XSCMUniOp.java,0,0,0,0,136,0,0,0,0,0,0,69,0,13,0,0,0,12.82352941
src/org/apache/xerces/impl/dv/dtd/XML11IDREFDatatypeValidator.java,0,0,0,0,0,0,0,110,0,11,0,69,0,11,3,0,0,12
src/org/apache/xerces/impl/io/MalformedByteSequenceException.java,0,0,0,0,0,0,0,0,0,0,0,136,0,11,5,0,0,8.941176471
src/org/apache/xerces/util/XMLLocatorWrapper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,6.411764706
src/org/apache/xerces/xni/QName.java,0,0,0,0,233,0,0,0,0,0,0,74,8,11,0,0,0,19.17647059
src/org/apache/xerces/validators/schema/identity/IDValue.java,0,0,0,131,131,0,0,0,0,0,0,0,0,0,0,0,0,15.41176471
src/org/apache/xerces/util/ParserConfigurationSettings.java,0,0,0,0,317,17,3,0,0,0,4,92,0,11,0,0,0,26.11764706
src/org/apache/xerces/jaxp/datatype/DurationImpl.java,0,0,0,0,0,0,0,0,0,0,0,1999,14,11,320,0,10,138.4705882
src/org/apache/xml/serialize/OutputFormat.java,400,141,37,0,28,0,0,24,0,1,0,81,0,52,0,0,0,44.94117647
src/org/apache/xerces/dom/SecuritySupport.java,0,0,0,0,0,0,0,0,0,0,0,148,0,13,28,0,0,11.11764706
src/org/apache/xerces/validators/dtd/ElementDeclPool.java,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.76470588
src/org/apache/xerces/dom3/UserDataHandler.java,0,0,0,0,62,21,0,0,0,42,34,73,0,0,0,0,0,13.64705882
src/org/apache/xerces/impl/xs/XSDeclarationPool.java,0,0,0,0,101,263,0,1,0,0,0,69,0,11,8,0,0,26.64705882
src/org/apache/xerces/utils/XMLMessages.java,3,3,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,74.82352941
src/org/apache/xerces/xs/XSWildcard.java,0,0,0,0,0,0,0,0,0,0,122,67,9,11,0,0,0,12.29411765
src/org/w3c/dom/html/HTMLIsIndexElement.java,39,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,4.294117647
src/org/apache/xerces/xpointer/XPointerPart.java,0,0,0,0,0,0,0,0,0,0,0,129,0,13,1,0,0,8.411764706
src/org/w3c/dom/DOMImplementation.java,117,0,91,0,0,48,0,0,110,0,0,0,0,0,0,0,0,21.52941176
tests/jaxp/AllTests.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2.411764706
src/org/apache/wml/dom/WMLImgElementImpl.java,160,0,0,0,0,0,0,0,0,0,0,255,2,11,2,0,0,25.29411765
src/org/apache/xerces/dom/DeferredEntityReferenceImpl.java,28,25,0,2,67,1,0,0,0,5,0,69,0,11,0,0,0,12.23529412
src/org/w3c/dom/CharacterData.java,250,0,117,0,0,35,0,0,159,0,0,0,0,0,0,0,0,33
src/org/apache/xerces/parsers/ObjectFactory.java,0,0,0,0,0,0,0,0,0,0,0,536,0,11,56,0,4,35.70588235
src/org/apache/wml/WMLAnchorElement.java,81,0,0,0,0,0,0,0,0,0,0,67,0,11,0,0,0,9.352941176
src/org/apache/xerces/dom/NodeImpl.java,1034,165,90,94,1014,554,0,315,119,24,11,83,13,20,13,0,29,210.4705882
src/org/apache/xerces/impl/xs/traversers/XSDAbstractIDConstraintTraverser.java,0,0,0,0,203,29,0,0,0,24,0,139,0,14,39,0,0,26.35294118
src/org/apache/xerces/validators/dtd/CMUniOp.java,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.235294118
src/org/apache/xerces/impl/dv/xs/AnySimpleDV.java,0,0,0,0,82,2,0,0,0,0,0,69,0,11,0,0,0,9.647058824
src/org/apache/xerces/dom/NotationImpl.java,37,14,4,0,10,31,0,0,0,0,0,87,0,11,0,0,0,11.41176471
src/org/apache/xerces/impl/xpath/regex/ParseException.java,0,0,0,0,87,1,0,0,0,0,0,72,0,11,2,0,0,10.17647059
src/org/apache/xerces/xs/datatypes/XSDateTime.java,0,0,0,0,0,0,0,0,0,0,0,290,0,11,0,0,0,17.70588235
src/org/apache/xerces/xs/XSAnnotation.java,0,0,0,0,0,0,0,0,0,0,100,67,0,11,0,0,0,10.47058824
src/org/apache/xerces/impl/dv/xs/MonthDayDV.java,0,0,0,0,162,39,0,8,0,0,0,110,5,11,6,0,0,20.05882353
src/org/apache/xerces/framework/Version.java,2,10,2,2,86,0,0,0,0,0,0,0,0,0,0,0,0,6
src/org/apache/xerces/impl/xs/models/XSCMBinOp.java,0,0,0,0,178,17,0,0,0,1,0,69,0,13,0,0,0,16.35294118
src/org/apache/xerces/impl/dv/xs/AbstractDateTimeDV.java,0,0,0,0,806,246,0,77,31,42,0,1690,18,12,120,2,0,179.0588235
src/org/apache/xerces/impl/xs/XSNotationDecl.java,0,0,0,0,78,51,0,12,0,8,10,69,14,18,22,0,0,16.58823529
src/org/apache/xerces/util/XML11Char.java,0,0,0,0,0,0,0,381,0,7,56,330,0,11,58,0,0,49.58823529
src/org/apache/xerces/impl/dv/xs/SchemaDateTimeException.java,0,0,0,0,71,0,0,0,0,0,0,73,0,11,0,0,0,9.117647059
src/org/apache/xerces/utils/regex/Match.java,191,40,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,26.70588235
src/org/apache/xerces/parsers/DTDConfiguration.java,0,0,0,0,0,832,30,24,122,58,0,94,0,11,32,0,0,70.76470588
src/org/apache/xerces/impl/xs/SchemaNamespaceSupport.java,0,0,0,0,143,59,0,0,0,0,0,69,149,11,0,0,0,25.35294118
src/org/apache/xerces/validators/dtd/XMLContentModel.java,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.470588235
src/org/apache/xml/serialize/SerializerFactory.java,86,2,2,0,2,0,4,0,2,0,0,85,0,30,5,0,0,12.82352941
