Class,cassandra-0.4.0-final,cassandra-0.5.0,cassandra-0.6.0,cassandra-0.7.0,cassandra-0.8.0,cassandra-1.0.0,cassandra-1.1.0,cassandra-1.2.0,cassandra-2.0.0,cassandra-2.1.0,cassandra-2.2.0,cassandra-3.0.0,cassandra-3.1,cassandra-3.2,cassandra-3.3,cassandra-3.4,cassandra-3.5,cassandra-3.6,cassandra-3.7,cassandra-3.8,cassandra-4.0.0,cassandra-4.0.5,average
src/java/org/apache/cassandra/cql/jdbc/JdbcInt32.java,0,0,0,0,0,100,13,18,101,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54545455
src/java/org/apache/cassandra/db/SnapshotDetailsTabularData.java,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,6,0,4.181818182
src/java/org/apache/cassandra/cql3/statements/CreateIndexStatement.java,0,0,0,0,0,0,93,57,113,107,87,207,8,0,0,9,11,2,0,0,240,0,42.45454545
src/java/org/apache/cassandra/index/internal/CollatedViewIndexBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,15,0,4.227272727
src/java/org/apache/cassandra/exceptions/OperationExecutionException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,16,3.318181818
test/unit/org/apache/cassandra/io/compress/ZstdCompressorTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2.409090909
tools/stress/src/org/apache/cassandra/stress/generate/DistributionBoundApache.java,0,0,0,0,0,0,0,0,0,84,4,0,0,0,0,0,0,0,0,0,0,0,4
src/java/org/apache/cassandra/cql/DeleteStatement.java,0,0,0,0,74,81,39,32,9,26,123,0,0,0,0,0,0,0,0,0,0,0,17.45454545
interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnDef.java,0,0,0,657,104,159,34,0,344,51,0,0,0,0,0,0,0,0,0,0,915,0,102.9090909
src/java/org/apache/cassandra/cql3/selection/AbstractFunctionSelector.java,0,0,0,0,0,0,0,0,0,0,131,6,0,11,0,0,0,7,0,23,27,0,9.318181818
src/java/org/apache/cassandra/metrics/EstimatedHistogramReservoir.java,0,0,0,0,0,0,0,0,0,0,105,3,10,0,5,0,0,0,0,111,0,0,10.63636364
src/java/org/apache/cassandra/locator/SimpleSeedProvider.java,0,0,0,0,67,2,12,10,0,57,33,0,0,0,0,0,0,0,0,0,10,0,8.681818182
src/java/org/apache/cassandra/tools/nodetool/CompactionStats.java,0,0,0,0,0,0,0,0,0,0,105,0,0,30,0,53,0,2,0,0,52,6,11.27272727
src/java/org/apache/cassandra/service/reads/PercentileSpeculativeRetryPolicy.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,5.272727273
test/distributed/org/apache/cassandra/distributed/upgrade/MixedModeConsistencyV3XTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,1.772727273
src/java/org/apache/cassandra/cql3/functions/CastFcts.java,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,4,0,0,0,0,37,0,17.5
src/java/org/apache/cassandra/security/SSLFactory.java,0,0,0,0,102,28,48,29,41,23,7,0,0,0,0,41,0,45,0,0,586,0,43.18181818
test/unit/org/apache/cassandra/db/SerializationHeaderTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,6.590909091
src/java/org/apache/cassandra/io/FSDiskFullWriteError.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1.681818182
test/unit/org/apache/cassandra/tools/NodetoolNetStatsTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,3,7.772727273
src/java/org/apache/cassandra/net/InboundMessageHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,23.31818182
src/java/org/apache/cassandra/cql3/statements/AlterTypeStatement.java,0,0,0,0,0,0,0,0,0,343,81,70,9,0,0,28,0,12,0,44,331,0,41.72727273
src/java/org/apache/cassandra/net/io/ProtocolHeaderState.java,202,8,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77272727
test/unit/org/apache/cassandra/config/ColumnDefinitionTest.java,0,0,0,55,8,4,14,0,17,27,3,15,0,0,0,0,0,0,0,0,55,0,9
src/java/org/apache/cassandra/db/SinglePartitionReadCommand.java,0,0,0,0,0,0,0,0,0,0,0,986,4,33,0,170,5,6,35,12,787,157,99.77272727
test/unit/org/apache/cassandra/utils/AssertUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,6.636363636
src/java/org/apache/cassandra/locator/EndpointSnitchInfo.java,0,0,0,56,0,0,0,19,0,5,0,0,0,0,0,0,0,0,0,11,25,0,5.272727273
test/unit/org/apache/cassandra/gms/GossiperTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,434,0,23.95454545
src/java/org/apache/cassandra/io/util/BufferedPoolingSegmentedFile.java,0,0,0,0,0,0,0,0,47,5,32,50,0,0,0,0,0,0,0,0,0,0,6.090909091
src/java/org/apache/cassandra/index/sasi/utils/AbstractIterator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,7.045454545
test/distributed/org/apache/cassandra/distributed/test/NetstatsBootstrapWithoutEntireSSTablesCompressionStreamingTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1.636363636
src/java/org/apache/cassandra/io/ICompactionInfo.java,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.818181818
test/unit/org/apache/cassandra/cql3/DistinctQueryPagingTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,10.5
src/java/org/apache/cassandra/cql3/RoleName.java,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2,0,2.181818182
src/java/org/apache/cassandra/thrift/ThriftValidation.java,0,0,334,218,391,175,270,305,125,114,48,249,0,0,0,0,0,4,0,0,671,0,132
test/unit/org/apache/cassandra/db/commitlog/CommitLogDescriptorTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,3,0,10,0,14.72727273
src/java/org/apache/cassandra/index/transactions/CleanupTransaction.java,0,0,0,0,0,0,0,0,0,0,0,52,0,2,0,0,0,0,0,0,0,0,2.454545455
src/java/org/apache/cassandra/net/CachingMessageProducer.java,0,0,0,0,48,0,10,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.818181818
src/java/org/apache/cassandra/transport/CQLMessageHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,25.68181818
src/java/org/apache/cassandra/service/paxos/PrepareCallback.java,0,0,0,0,0,0,0,0,87,28,0,3,0,0,0,0,2,0,0,18,40,0,8.090909091
src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java,0,0,35,22,3,0,10,67,0,0,44,3,0,0,0,0,0,0,0,0,0,0,8.363636364
src/java/org/apache/cassandra/db/CassandraWriteContext.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,2.681818182
test/unit/org/apache/cassandra/db/compaction/CompactionStrategyManagerPendingRepairTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,17
src/java/org/apache/cassandra/utils/binlog/BinLog.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,22.59090909
src/java/org/apache/cassandra/streaming/messages/OutgoingFileMessage.java,0,0,0,0,0,0,0,0,0,90,62,5,14,0,0,0,0,0,0,43,144,0,16.27272727
src/java/org/apache/cassandra/streaming/StreamInitiateMessage.java,0,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.363636364
src/java/org/apache/cassandra/cql3/restrictions/CustomIndexExpression.java,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,57,0,5.227272727
src/java/org/apache/cassandra/tools/nodetool/SetTimeout.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,4,0,2.681818182
src/java/org/apache/cassandra/service/ThriftValidation.java,194,30,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.27272727
tools/stress/src/org/apache/cassandra/stress/operations/userdefined/SchemaInsert.java,0,0,0,0,0,0,0,0,0,165,82,4,0,0,0,0,0,0,0,0,66,0,14.40909091
src/java/org/apache/cassandra/service/ReadResponseResolver.java,352,210,25,179,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18181818
src/java/org/apache/cassandra/tools/nodetool/DisableGossip.java,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,1.590909091
src/java/org/apache/cassandra/cql3/functions/types/utils/Bytes.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,9.954545455
src/java/org/apache/cassandra/db/DeletedColumn.java,0,0,0,66,40,16,15,11,45,131,0,0,0,0,0,0,0,0,0,0,0,0,14.72727273
test/unit/org/apache/cassandra/io/sstable/SSTableWriterTestBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,3,0,13,20,16,0,9.909090909
test/distributed/org/apache/cassandra/distributed/test/RepairDigestTrackingTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,195,30.54545455
test/unit/org/apache/cassandra/index/sasi/plan/ExpressionTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2.409090909
src/java/org/apache/cassandra/io/util/DataIntegrityMetadata.java,0,0,0,0,0,0,0,0,167,84,98,43,0,1,0,0,0,13,0,86,35,0,23.95454545
src/java/org/apache/cassandra/utils/FastLinkedHashMap.java,48,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.272727273
src/java/org/apache/cassandra/cli/CliOptions.java,2,9,40,149,140,0,12,85,33,60,319,0,0,0,0,0,0,0,0,0,0,0,38.59090909
tools/stress/src/org/apache/cassandra/stress/operations/RangeSlicer.java,0,0,0,0,141,5,0,3,9,144,0,0,0,0,0,0,0,0,0,0,0,0,13.72727273
src/java/org/apache/cassandra/streaming/ReplicationFinishedVerbHandler.java,0,0,0,44,8,0,8,33,2,2,0,0,0,0,0,0,0,0,0,0,41,0,6.272727273
test/unit/org/apache/cassandra/cql3/validation/entities/udfverify/UseOfSynchronizedWithNotifyAll.java,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,4,0,5,0,0,10,0,2.909090909
src/java/org/apache/cassandra/dht/LeaveJoinProtocolImpl.java,582,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.72727273
src/java/org/apache/cassandra/dht/BootstrapEvent.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,3.909090909
test/unit/org/apache/cassandra/db/lifecycle/LifecycleTransactionTest.java,0,0,0,0,0,0,0,0,0,0,429,13,0,0,0,0,0,0,0,0,11,0,20.59090909
src/java/org/apache/cassandra/db/Truncation.java,0,0,0,97,13,18,21,37,12,4,0,6,0,0,0,0,0,0,0,0,74,0,12.81818182
src/java/org/apache/cassandra/cql3/Term.java,0,0,0,0,0,0,207,139,237,38,19,19,0,0,0,0,0,5,0,14,29,0,32.13636364
src/java/org/apache/cassandra/cql3/statements/RevokeStatement.java,0,0,0,0,0,0,0,43,6,0,43,0,0,0,0,0,0,0,0,0,0,0,4.181818182
test/distributed/org/apache/cassandra/distributed/test/NetstatsRepairStreamingTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,4
src/java/org/apache/cassandra/tools/nodetool/ReplayBatchlog.java,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,2,0,2
src/java/org/apache/cassandra/service/reads/repair/RowIteratorMergeListener.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,18.27272727
src/java/org/apache/cassandra/db/streaming/CassandraStreamWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,8.136363636
test/unit/org/apache/cassandra/io/util/FileSegmentInputStreamTest.java,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,40,0,7.772727273
test/unit/org/apache/cassandra/io/sstable/SSTableSimpleWriterTest.java,0,0,0,0,0,104,12,0,10,7,86,123,0,0,0,0,0,0,0,0,0,0,15.54545455
src/java/org/apache/cassandra/db/aggregation/GroupingState.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,6.5
src/java/org/apache/cassandra/schema/SchemaPushVerbHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,2.227272727
test/unit/org/apache/cassandra/db/KeyspaceTest.java,0,0,0,0,0,0,0,0,649,279,171,843,0,9,0,4,0,14,0,0,186,0,97.95454545
src/java/org/apache/cassandra/io/sstable/IndexSummaryManagerMBean.java,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2.045454545
src/java/org/apache/cassandra/index/internal/keys/KeysSearcher.java,0,0,0,0,0,0,0,0,0,0,0,188,0,6,2,4,0,33,0,3,89,0,14.77272727
src/java/org/apache/cassandra/config/RawColumnDefinition.java,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.909090909
src/java/org/apache/cassandra/gms/IEndPointStateChangeSubscriber.java,86,10,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.545454545
src/java/org/apache/cassandra/net/OutboundSink.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,4.909090909
test/unit/org/apache/cassandra/cql3/ViewComplexTester.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,6
src/java/org/apache/cassandra/io/util/ByteBufferDataInput.java,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,15.54545455
src/java/org/apache/cassandra/db/RangeSliceReply.java,0,81,27,15,8,6,17,59,0,6,5,92,0,0,0,0,0,0,0,0,0,0,14.36363636
src/java/org/apache/cassandra/io/compress/CompressedSequentialWriter.java,0,0,0,0,0,208,17,174,0,76,148,50,2,0,0,0,8,0,0,50,64,0,36.22727273
src/java/org/apache/cassandra/streaming/StreamIn.java,0,0,51,42,19,29,21,36,90,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09090909
src/java/org/apache/cassandra/serializers/MarshalException.java,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1.454545455
src/java/org/apache/cassandra/utils/binlog/BinLogOptions.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2.409090909
src/java/org/apache/cassandra/service/reads/repair/ReadRepairEvent.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,5.227272727
test/unit/org/apache/cassandra/cql3/validation/operations/InsertTest.java,0,0,0,0,0,0,0,0,0,0,59,233,0,0,0,6,0,31,0,53,128,0,23.18181818
src/java/org/apache/cassandra/index/sasi/analyzer/filter/StemmerFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,14,0,5.227272727
src/java/org/apache/cassandra/repair/consistent/LocalSession.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,5.954545455
test/long/org/apache/cassandra/concurrent/LongSharedExecutorPoolTest.java,0,0,0,0,0,0,0,0,0,228,228,0,0,0,0,0,0,0,0,0,0,0,20.72727273
test/long/org/apache/cassandra/utils/LongBTreeTest.java,0,0,0,0,0,0,0,0,0,401,401,0,0,0,0,0,0,0,0,0,0,0,36.45454545
