Class,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,average
test/org/apache/pig/test/TestPigContext.java,15,107,0,0,51,26,0,45,59,163,0,35,22,0,5,35.2
test/org/apache/pig/test/TestAccumulator.java,0,0,0,458,127,35,123,0,0,445,36,207,4,15,9,97.26666667
contrib/zebra/src/test/org/apache/hadoop/zebra/mapreduce/TestTypeCheck.java,0,0,0,0,0,232,0,0,0,0,232,0,0,0,0,30.93333333
src/org/apache/pig/PigStreamingBase.java,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,6.333333333
test/org/apache/pig/test/TestExperimentalRule.java,0,0,0,0,367,367,0,0,0,0,0,0,0,0,0,48.93333333
src/org/apache/pig/builtin/AlgebraicMathBase.java,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,8.466666667
src/org/apache/pig/impl/eval/StreamSpec.java,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.06666667
src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPOPackageAnnotator.java,0,0,0,0,0,0,0,0,0,0,0,189,57,0,27,18.2
test/org/apache/pig/test/TestImplicitSplit.java,148,0,0,0,26,11,48,0,0,0,0,38,0,0,0,18.06666667
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/PODemux.java,0,0,0,96,104,28,10,0,0,6,0,0,0,0,0,16.26666667
test/org/apache/pig/test/TestNewPlanListener.java,0,0,0,0,0,281,2,4,4,77,0,0,0,0,0,24.53333333
src/org/apache/pig/impl/builtin/FindQuantiles.java,53,9,0,2,0,0,0,0,18,0,0,24,0,0,0,7.066666667
src/org/apache/pig/newplan/logical/relational/LogicalRelationalOperator.java,0,0,0,0,0,193,15,2,2,32,0,0,0,0,0,16.26666667
test/org/apache/pig/test/TestPigScriptParser.java,47,0,0,46,0,0,83,40,5,156,0,2,0,78,0,30.46666667
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigTupleSortComparator.java,0,0,0,0,0,168,0,0,0,0,0,11,0,31,0,14
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/JoinPackager.java,0,0,0,0,0,0,0,0,0,0,248,2,0,0,0,16.66666667
src/org/apache/pig/pen/IllustratorAttacher.java,0,0,0,0,0,0,428,22,84,0,106,10,0,0,0,43.33333333
src/org/apache/pig/builtin/TRIM.java,0,0,0,0,0,69,0,9,0,0,0,4,0,0,0,5.466666667
test/e2e/pig/udfs/java/org/apache/pig/test/udf/evalfunc/Nil.java,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,2.2
test/org/apache/pig/backend/hadoop/accumulo/TestAccumuloBinaryConverter.java,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,4.533333333
src/org/apache/pig/builtin/RoundRobinPartitioner.java,0,0,0,0,0,0,0,0,0,0,0,0,31,43,11,5.666666667
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigStatsOutputSizeReader.java,0,0,0,0,0,0,0,0,0,55,7,1,0,0,0,4.2
lib-src/bzip2/org/apache/tools/bzip2r/BZip2Constants.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667
src/org/apache/pig/OrderedLoadFunc.java,0,0,0,0,47,18,0,0,0,0,0,0,0,0,0,4.333333333
test/org/apache/pig/test/TestInputOutputFileValidator.java,215,0,0,13,114,43,71,0,111,152,10,0,5,0,0,48.93333333
src/org/apache/pig/builtin/ASIN.java,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,2.133333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/NEXTUP.java,88,0,0,0,3,0,0,0,0,0,0,2,0,0,0,6.2
test/e2e/pig/udfs/java/org/apache/pig/test/udf/streaming/StreamingDump.java,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2.6
src/org/apache/pig/impl/logicalLayer/LOMultiply.java,75,0,0,0,0,0,70,0,0,0,0,0,0,0,0,9.666666667
src/org/apache/pig/experimental/plan/optimizer/PlanTransformListener.java,0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,4.933333333
test/org/apache/pig/test/TestPhyOp.java,87,0,0,0,0,0,0,0,0,27,0,0,0,0,0,7.6
contrib/penny/java/src/main/java/org/apache/pig/penny/ParsedPigScript.java,0,0,0,0,0,0,519,0,519,0,0,0,0,0,0,69.2
src/org/apache/pig/data/BinSedesTuple.java,0,0,0,0,0,109,0,0,21,7,0,0,0,0,0,9.133333333
src/org/apache/pig/backend/hadoop/BigIntegerWritable.java,0,0,0,0,0,0,0,0,0,114,0,4,0,0,0,7.866666667
src/org/apache/pig/newplan/logical/rules/PredicatePushdownOptimizer.java,0,0,0,0,0,0,0,0,0,0,0,218,9,0,0,15.13333333
src/org/apache/pig/impl/builtin/GFAny.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667
src/org/apache/pig/ErrorHandling.java,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2.333333333
src/org/apache/pig/tools/pigstats/InputStats.java,0,0,0,0,0,134,0,2,0,0,40,0,0,0,0,11.73333333
test/org/apache/pig/test/TestProjectStarExpander.java,0,0,0,0,0,0,144,0,0,0,0,0,10,0,0,10.26666667
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestTableMergeJoin.java,0,0,0,252,28,6,0,0,0,0,240,0,0,0,0,35.06666667
src/org/apache/pig/impl/logicalLayer/LOCogroup.java,560,113,0,93,13,5,853,0,0,0,0,0,0,0,0,109.1333333
contrib/zebra/src/java/org/apache/hadoop/zebra/types/SubColumnExtraction.java,0,412,0,95,0,0,0,0,0,0,427,0,0,0,0,62.26666667
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POSortedDistinct.java,0,0,0,86,0,8,0,0,0,2,0,0,0,0,0,6.4
test/org/apache/pig/test/utils/dotGraph/DotGraph.java,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.733333333
contrib/zebra/src/test/org/apache/hadoop/zebra/tfile/TestTFileNoneCodecsByteArrays.java,0,0,0,32,0,0,0,0,0,0,32,0,0,0,0,4.266666667
src/org/apache/pig/impl/logicalLayer/optimizer/PruneColumns.java,0,0,0,801,158,0,829,0,0,0,0,0,0,0,0,119.2
contrib/zebra/src/java/org/apache/hadoop/zebra/io/BasicTableStatus.java,0,110,0,2,0,0,0,0,0,0,110,0,0,0,0,14.8
src/org/apache/pig/impl/logicalLayer/LOFilter.java,128,73,0,44,0,8,287,0,0,0,0,0,0,0,0,36
test/org/apache/pig/test/TestNewPlanFilterAboveForeach.java,0,0,0,0,0,459,293,0,0,32,0,0,0,14,0,53.2
test/e2e/pig/udfs/java/org/apache/pig/test/udf/evalfunc/TestBoolean.java,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,2.466666667
src/org/apache/pig/impl/io/NullableUnknownWritable.java,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,2.6
contrib/zebra/src/test/org/apache/hadoop/zebra/types/TestStorageGrammar.java,0,0,0,834,6,82,0,0,0,0,860,0,0,0,0,118.8
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestSimpleType.java,0,554,0,57,142,2,0,0,0,0,529,0,0,0,0,85.6
test/org/apache/pig/test/TestPigServerWithMacros.java,0,0,0,0,0,0,0,0,137,0,0,36,50,0,0,14.86666667
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/FixedWidthLoader.java,0,0,0,0,0,0,0,0,0,454,2,0,0,0,0,30.4
src/org/apache/pig/pen/physicalOperators/POStreamLocal.java,0,0,0,0,168,0,168,0,0,0,0,0,0,0,0,22.4
