Class,releases/lucene/1.2,releases/lucene/1.3,releases/lucene/1.4,releases/lucene/1.9,releases/lucene/2.0.0,releases/lucene/2.1.0,releases/lucene/2.2.0,releases/lucene/2.3.0,releases/lucene/2.4.0,releases/lucene/2.9.0,releases/lucene/3.0.0,releases/lucene/9.0.0,releases/lucene/9.1.0,releases/lucene/9.2.0,releases/lucene/9.3.0,average
lucene/queryparser/src/java/org/apache/lucene/queryparser/xml/builders/SpanBuilderBase.java,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2.533333333
lucene/core/src/test/org/apache/lucene/util/TestAttributeSource.java,0,0,0,0,0,0,0,0,0,0,0,254,3,0,0,17.13333333
lucene/facet/src/java/org/apache/lucene/facet/range/LongRangeFacetCounts.java,0,0,0,0,0,0,0,0,0,0,0,130,96,0,0,15.06666667
contrib/snowball/src/java/org/tartarus/snowball/ext/RomanianStemmer.java,0,0,0,0,0,0,0,0,1024,0,0,1024,0,0,0,136.5333333
contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/StandardSyntaxParser.java,0,0,0,0,0,0,0,0,0,886,2,886,0,0,0,118.2666667
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/core/builders/QueryTreeBuilder.java,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,13.06666667
lucene/analysis/common/src/java/org/apache/lucene/analysis/synonym/SynonymGraphFilterFactory.java,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,14.86666667
lucene/facet/src/java/org/apache/lucene/facet/taxonomy/writercache/LruTaxonomyWriterCache.java,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,7.933333333
lucene/queryparser/src/java/org/apache/lucene/queryparser/xml/builders/SpanQueryBuilder.java,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1.866666667
contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/builders/MatchNoDocsQueryNodeBuilder.java,0,0,0,0,0,0,0,0,0,52,4,52,0,0,0,7.2
src/java/org/apache/lucene/messages/NLS.java,0,0,0,0,0,0,0,0,0,208,24,208,0,0,0,29.33333333
lucene/demo/src/java/org/apache/lucene/demo/facet/RangeFacetsExample.java,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,11.33333333
lucene/analysis/common/src/java/org/apache/lucene/analysis/gl/GalicianStemmer.java,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,6.133333333
lucene/expressions/src/java/org/apache/lucene/expressions/js/JavascriptParserErrorStrategy.java,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,7.6
contrib/analyzers/src/java/org/apache/lucene/analysis/compound/hyphenation/CharVector.java,0,0,0,0,0,0,0,0,136,136,0,0,0,0,0,18.13333333
lucene/test-framework/src/java/org/apache/lucene/index/PerThreadPKLookup.java,0,0,0,0,0,0,0,0,0,0,0,95,95,0,0,12.66666667
contrib/gdata-server/src/gom/src/java/org/apache/lucene/gdata/gom/core/GOMDateConstructImpl.java,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,13.33333333
contrib/gdata-server/src/core/src/java/org/apache/lucene/gdata/servlet/handler/AbstractGdataRequestHandler.java,0,0,0,0,0,110,0,110,0,0,0,0,0,0,0,14.66666667
lucene/analysis/common/src/java/org/tartarus/snowball/ext/SwedishStemmer.java,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,16.6
lucene/suggest/src/java/org/apache/lucene/search/suggest/document/CompletionQuery.java,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,10.8
lucene/core/src/test/org/apache/lucene/analysis/FakeTokenFilterFactory.java,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,2.666666667
lucene/analysis/common/src/test/org/apache/lucene/analysis/compound/TestHyphenationCompoundWordTokenFilterFactory.java,0,0,0,0,0,0,0,0,0,0,0,85,4,0,0,5.933333333
lucene/analysis/phonetic/src/java/org/apache/lucene/analysis/phonetic/DoubleMetaphoneFilter.java,0,0,0,0,0,0,0,0,0,0,0,113,3,0,0,7.733333333
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/core/nodes/GroupQueryNode.java,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,4.933333333
src/java/org/apache/lucene/store/OutputStream.java,0,69,60,152,22,0,0,0,0,0,0,0,0,0,0,20.2
lucene/core/src/java/org/apache/lucene/util/fst/ReverseBytesReader.java,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,3.933333333
contrib/gdata-server/src/core/src/test/org/apache/lucene/gdata/search/analysis/TestGdataDateStrategy.java,0,0,0,0,0,116,0,116,0,0,0,0,0,0,0,15.46666667
lucene/core/src/test/org/apache/lucene/util/packed/TestPackedInts.java,0,0,0,0,0,0,0,0,0,0,0,1282,8,0,0,86
lucene/core/src/java/org/apache/lucene/search/TimeLimitingCollector.java,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,21.13333333
lucene/core/src/test/org/apache/lucene/search/TestBooleanMinShouldMatch.java,0,0,0,0,0,0,0,0,0,0,0,450,12,0,25,32.46666667
lucene/core/src/test/org/apache/lucene/util/TestIntsRef.java,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,3.4
src/java/org/apache/lucene/search/SpanFilterResult.java,0,0,0,0,0,0,0,117,25,2,37,117,0,0,0,19.86666667
lucene/test-framework/src/java/org/apache/lucene/tests/store/CorruptingIndexOutput.java,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,7.466666667
