Class,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-1.0.0,release-1.1.0,release-1.2.0,release-2.0.0,rel/release-2.1.0,rel/release-2.2.0,rel/release-2.3.0,rel/release-3.0.0,rel/release-3.1.0,rel/release-3.1.3,average
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/GenericUDFEvaluateNPE.java,0,0,0,0,0,0,81,0,0,81,0,0,0,0,0,0,0,0,0,0,0,7.714285714
jdbc-handler/src/test/java/org/apache/hive/config/TestJdbcStorageConfigManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,4.19047619
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/ColumnStatisticsData.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,0,32.14285714
upgrade-acid/src/main/java/org/apache/hadoop/hive/upgrade/acid/UpgradeTool.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,38.47619048
branch-0.4/ql/src/java/org/apache/hadoop/hive/ql/exec/description.java,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.761904762
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/messaging/json/JSONDropDatabaseMessage.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,3.380952381
ql/src/test/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/TestSQLStdHiveAccessControllerHS2.java,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,4,0,5,0,0,9.047619048
ql/src/java/org/apache/hadoop/hive/ql/parse/ExplainSQRewriteSemanticAnalyzer.java,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,10,3,0,4,0,0,4.095238095
ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/io/FunctionSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,3.952380952
hcatalog/core/src/test/java/org/apache/hcatalog/mapreduce/TestHCatPartitioned.java,0,0,0,0,0,0,0,351,499,0,354,0,0,0,0,0,0,0,0,0,0,57.33333333
ql/src/java/org/apache/hadoop/hive/llap/ChannelOutputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,58,0,37,0,0,11.23809524
hcatalog/webhcat/java-client/src/main/java/org/apache/hive/hcatalog/api/repl/exim/CreateTableReplicationTask.java,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,2,0,0,4.142857143
branch-0.4/serde/src/gen-java/org/apache/hadoop/hive/serde/test/Constants.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metastore/src/java/org/apache/hadoop/hive/metastore/messaging/MessageFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,239,0,0,22.76190476
itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/mapjoin/MapJoinMultiKeyBench.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,10.52380952
shims/common/src/main/java/org/apache/hadoop/hive/shims/Utils.java,0,0,0,0,0,0,0,0,0,0,0,0,182,1,0,131,0,0,84,0,0,18.95238095
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastFloatToVarChar.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,2.571428571
serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/WritableConstantHiveVarcharObjectInspector.java,0,0,0,0,0,0,0,0,59,24,0,0,0,0,0,0,0,0,2,0,0,4.047619048
metastore/src/java/org/apache/hadoop/hive/metastore/partition/spec/PartitionSpecWithSharedSDProxy.java,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,172,0,0,16.38095238
beeline/src/java/org/apache/hive/beeline/DeprecatedSeparatedValuesOutputFormat.java,0,0,0,0,0,0,0,0,0,0,73,0,0,5,0,0,0,0,2,0,0,3.80952381
beeline/src/java/org/apache/hive/beeline/ClassNameCompleter.java,0,0,0,0,0,0,0,0,0,0,0,0,184,78,6,0,0,54,254,0,0,27.42857143
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/comparator/ShortestJobFirstComparator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,23,4,17,0,0,5.428571429
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapper.java,0,0,0,0,0,0,0,0,0,0,181,0,0,0,5,0,0,0,0,0,0,8.857142857
hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/messaging/AlterPartitionMessage.java,0,0,0,0,0,0,0,0,0,0,0,0,43,6,0,0,0,0,9,0,0,2.761904762
itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/AbstractTestAuthorizationApiAuthorizer.java,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,2,0,0,28,0,0,11.47619048
branch-0.4/contrib/src/test/org/apache/hadoop/hive/contrib/serde2/TestRegexSerDe.java,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.047619048
orc/src/test/org/apache/hive/orc/impl/TestBitFieldReader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,145,0,0,0,13.80952381
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPDTIPlus.java,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,2,16,0,12.9047619
ql/src/java/org/apache/hadoop/hive/ql/parse/PreInsertTableDesc.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/columnstats/aggr/DateColumnStatsAggregator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,17.14285714
ql/src/java/org/apache/hadoop/hive/ql/exec/ExprNodeNullEvaluator.java,15,0,13,0,0,0,0,0,11,0,0,0,0,0,47,0,0,0,0,0,0,4.095238095
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/StringColumnInList.java,0,0,0,0,0,0,0,0,0,174,0,0,0,0,4,0,0,5,120,0,0,14.42857143
branch-0.4/ql/src/java/org/apache/hadoop/hive/ql/exec/UDFArgumentLengthException.java,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667
hcatalog/storage-handlers/hbase/src/java/org/apache/hcatalog/hbase/snapshot/RevisionManager.java,0,0,0,0,0,0,0,148,247,4,161,0,0,0,0,0,0,0,0,0,0,26.66666667
serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/UnionObject.java,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2.285714286
ql/src/java/org/apache/hadoop/hive/ql/parse/repl/load/message/AddForeignKeyHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,3.761904762
serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/IntObjectInspector.java,32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1.952380952
metastore/src/java/org/apache/hadoop/hive/metastore/hbase/stats/DecimalColumnStatsAggregator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,338,0,0,351,0,0,34.85714286
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,125,57,0,0,0,2,0,0,8.761904762
service/src/java/org/apache/hive/service/cli/thrift/ThriftBinaryCLIService.java,0,0,0,0,0,0,0,0,85,16,85,8,19,5,14,64,0,5,2,78,0,18.14285714
