Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,average
src/main/org/apache/tools/ant/taskdefs/optional/clearcase/CCCheckout.java,0,483,0,31,35,207,0,0,0,143,89.9
src/main/org/apache/tools/ant/taskdefs/Componentdef.java,0,0,0,0,0,0,41,4,9,2,5.6
src/etc/testcases/taskdefs/optional/depend/src4/test/MethodParam.java,0,0,0,0,8,0,16,0,0,2,2.6
src/main/org/apache/tools/ant/taskdefs/launcher/ScriptCommandLauncher.java,0,0,0,0,0,0,0,71,19,11,10.1
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Labelsync.java,0,0,0,0,186,68,0,150,0,0,40.4
src/main/org/apache/tools/ant/taskdefs/optional/jsp/JspC.java,0,0,0,621,226,157,174,2,14,106,130
src/tests/junit/org/apache/tools/ant/taskdefs/ManifestClassPathTest.java,0,0,0,0,0,161,52,26,222,265,72.6
src/main/org/apache/tools/ant/taskdefs/Checksum.java,0,0,0,447,252,413,41,77,22,115,136.7
src/tests/junit/org/apache/tools/ant/types/selectors/DependSelectorTest.java,0,0,0,0,0,172,0,3,354,356,88.5
src/main/org/apache/tools/ant/util/regexp/RegexpUtil.java,0,0,0,69,4,84,0,60,0,28,24.5
proposal/mutant/src/java/antcore/org/apache/ant/antcore/execution/TaskAdapter.java,0,0,0,113,113,0,0,0,0,0,22.6
proposal/antfarm/core/org/apache/tools/ant/BuildException.java,0,52,0,52,0,0,0,0,0,0,10.4
src/main/org/apache/tools/ant/types/optional/ScriptFilter.java,0,0,0,0,162,144,14,0,3,18,34.1
src/main/org/apache/tools/ant/PathTokenizer.java,0,2,0,129,53,62,0,0,1,13,26
src/tests/junit/org/apache/tools/ant/taskdefs/LoadPropertiesTest.java,0,0,0,0,0,60,0,60,0,0,12
src/main/org/apache/tools/ant/types/selectors/modifiedselector/Cache.java,0,0,0,0,109,63,0,2,0,2,17.6
proposal/mutant/src/java/antcore/org/apache/ant/antcore/config/AntConfigHandler.java,0,0,0,160,160,0,0,0,0,0,32
src/main/org/apache/tools/ant/types/RedirectorElement.java,0,0,0,0,0,607,11,26,20,52,71.6
proposal/mutant/src/java/common/org/apache/ant/common/util/ExecutionException.java,0,0,0,133,133,0,0,0,0,0,26.6
src/testcases/org/apache/tools/ant/taskdefs/optional/PvcsTest.java,0,0,96,6,2,96,0,0,0,0,20
src/main/org/apache/tools/ant/util/PropertyOutputStream.java,0,0,0,0,0,69,0,0,0,9,7.8
proposal/mutant/src/java/antlibs/system/org/apache/ant/antlib/system/LibPath.java,0,0,0,175,175,0,0,0,0,0,35
src/testcases/org/apache/tools/ant/util/UnPackageNameMapperTest.java,0,0,0,0,76,76,0,0,0,0,15.2
proposal/myrmidon/src/java/org/apache/myrmidon/frontends/CLIMain.java,0,0,476,476,0,0,0,0,0,0,95.2
src/main/org/apache/tools/ant/taskdefs/cvslib/RedirectingStreamHandler.java,0,0,0,98,8,62,0,0,11,8,18.7
src/tests/junit/org/apache/tools/ant/DummyTaskOk.java,0,0,0,0,0,31,0,0,0,2,3.3
src/testcases/org/apache/tools/ant/taskdefs/CopydirTest.java,99,2,4,9,2,106,0,0,0,0,22.2
src/testcases/org/apache/tools/ant/types/selectors/FilenameSelectorTest.java,0,0,0,167,8,167,0,0,0,0,34.2
src/main/org/apache/tools/ant/types/selectors/DifferentSelector.java,0,0,0,0,136,100,0,2,6,27,27.1
src/antidote/org/apache/tools/ant/gui/customizer/PropertiesPropertyEditor.java,0,308,308,0,0,0,0,0,0,0,61.6
src/tests/junit/org/apache/tools/ant/types/selectors/MockComparator.java,0,0,0,0,0,32,0,0,64,64,16
src/main/org/apache/tools/ant/taskdefs/optional/depend/constantpool/Utf8CPInfo.java,0,100,0,46,2,61,0,0,0,5,21.4
src/main/org/apache/tools/ant/types/resources/selectors/Not.java,0,0,0,0,0,66,0,0,0,2,6.8
src/main/org/apache/tools/zip/Zip64RequiredException.java,0,0,0,0,0,0,0,49,0,2,5.1
src/testcases/org/apache/tools/ant/taskdefs/UnzipTest.java,82,2,0,26,74,172,0,0,0,0,35.6
proposal/mutant/src/java/antcore/org/apache/ant/antcore/execution/DeferredSetter.java,0,0,0,191,191,0,0,0,0,0,38.2
src/testcases/org/apache/tools/ant/DummyTaskWithoutPublicConstructor.java,0,0,0,67,2,67,0,0,0,0,13.6
src/main/org/apache/tools/ant/taskdefs/launcher/Java13CommandLauncher.java,0,0,0,0,0,0,0,49,19,6,7.4
proposal/myrmidon/src/java/org/apache/ant/datatypes/Pattern.java,0,95,95,0,0,0,0,0,0,0,19
proposal/myrmidon/src/java/org/apache/myrmidon/api/TaskException.java,0,0,43,43,0,0,0,0,0,0,8.6
proposal/mutant/src/java/common/org/apache/ant/common/model/ModelElement.java,0,0,0,197,197,0,0,0,0,0,39.4
proposal/mutant/src/java/common/org/apache/ant/common/antlib/AntContext.java,0,0,0,102,102,0,0,0,0,0,20.4
src/antidote/org/apache/tools/ant/gui/customizer/StringPropertyEditor.java,0,165,165,0,0,0,0,0,0,0,33
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/CovBase.java,0,0,0,0,139,139,0,0,0,0,27.8
src/main/org/apache/tools/ant/taskdefs/optional/junit/IgnoredTestListener.java,0,0,0,0,0,0,0,53,3,8,6.4
proposal/anteater/bootstrap/Bootstrap.java,0,115,0,115,0,0,0,0,0,0,23
src/main/org/apache/tools/ant/taskdefs/XSLTLoggerAware.java,0,0,0,62,2,65,0,0,0,2,13.1
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTest.java,137,34,34,57,45,126,12,270,47,40,80.2
proposal/myrmidon/src/java/org/apache/ant/tasks/core/RegisterTasklib.java,0,71,71,0,0,0,0,0,0,0,14.2
proposal/myrmidon/src/java/org/apache/myrmidon/Constants.java,0,0,22,22,0,0,0,0,0,0,4.4
src/tests/junit/org/example/junit/JUnit3NonTestMissed.java,0,0,0,0,0,0,0,0,27,54,8.1
proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/JXPath.java,0,0,0,0,205,2,203,0,0,0,41
src/main/org/apache/tools/ant/taskdefs/condition/Not.java,0,0,80,5,13,62,0,0,0,9,16.9
src/testcases/org/apache/tools/ant/util/regexp/JakartaRegexpRegexpTest.java,0,0,0,101,4,101,0,0,0,0,20.6
src/tests/junit/org/apache/tools/ant/taskdefs/condition/XorTest.java,0,0,0,0,0,68,0,0,39,2,10.9
src/main/org/apache/tools/ant/taskdefs/optional/sos/SOSLabel.java,0,0,0,204,139,62,0,0,0,11,41.6
src/tutorial/tasks-filesets-properties/04-lists/src/FindTest.java,0,0,0,0,0,0,0,0,0,92,9.2
proposal/xdocs/src/org/apache/tools/ant/xdoclet/AntXDocletTask.java,0,0,0,98,98,0,0,0,0,0,19.6
proposal/sandbox/antlib/src/main/org/apache/tools/ant/ProjectHelper.java,0,0,0,833,833,0,0,0,0,0,166.6
