Class,karaf-2.1.0,karaf-2.2.0,karaf-2.3.0,karaf-2.4.0,karaf-3.0.0,karaf-4.0.0,karaf-4.1.0,karaf-4.2.0,karaf-4.3.0,karaf-4.3.1,karaf-4.4.0,karaf-4.4.1,average
shell/log/src/main/java/org/apache/karaf/shell/log/completers/LogLevelCompleter.java,0,0,0,0,43,0,0,0,0,0,0,0,3.583333333
bundle/command/src/main/java/org/apache/karaf/bundle/command/Start.java,0,0,0,0,30,30,0,0,0,0,0,0,5
main/src/main/java/org/apache/karaf/main/BundleInfo.java,0,0,0,0,29,0,0,0,0,0,0,0,2.416666667
shell/core/src/main/java/org/apache/karaf/shell/impl/console/commands/help/CommandsHelpProvider.java,0,0,0,0,0,87,0,0,0,0,0,0,7.25
audit/src/test/java/org/apache/karaf/audit/util/FastDateFormatTest.java,0,0,0,0,0,0,0,49,2,0,0,0,4.25
shell/core/src/main/java/org/apache/karaf/shell/impl/console/osgi/secured/SecuredSessionFactoryImpl.java,0,0,0,0,0,238,19,173,34,0,0,0,38.66666667
itests/test/src/test/java/org/apache/karaf/itests/EquinoxTest.java,0,0,0,0,0,0,0,0,48,0,0,0,4
instance/src/main/java/org/apache/karaf/instance/core/internal/InstanceImpl.java,0,0,0,0,0,106,12,0,0,0,0,0,9.833333333
features/management/src/main/java/org/apache/karaf/features/management/internal/StandardEmitterMBean.java,0,0,0,0,64,0,0,0,0,0,0,0,5.333333333
shell/core/src/main/java/org/apache/karaf/shell/support/completers/UriCompleter.java,0,0,0,0,0,172,57,6,14,0,0,0,20.75
tooling/exam/container/src/main/java/org/apache/karaf/tooling/exam/container/internal/runner/Runner.java,0,0,40,40,0,0,0,0,0,0,0,0,6.666666667
shell/core/src/main/java/org/apache/karaf/shell/api/action/Parsing.java,0,0,0,0,0,39,2,0,0,0,0,0,3.416666667
features/core/src/test/java/org/apache/karaf/features/Slf4jResolverLog.java,0,0,0,0,0,49,49,0,0,0,0,0,8.166666667
shell/core/src/test/java/org/apache/karaf/shell/impl/action/command/ActionMaskingCallbackTest.java,0,0,0,0,0,0,0,113,2,0,0,0,9.583333333
shell/console/src/main/java/org/apache/karaf/shell/console/impl/jline/CompleterAsCompletor.java,0,0,0,0,34,0,34,0,0,0,0,0,5.666666667
diagnostic/core/src/main/java/org/apache/karaf/diagnostic/core/DiagnosticDumpMBean.java,0,0,0,0,42,42,0,0,0,0,0,0,7
management/server/src/main/java/org/apache/karaf/management/RmiRegistryFactory.java,0,0,102,44,21,0,24,6,181,0,0,0,31.5
log/core/src/test/java/org/apache/karaf/log/core/internal/SetLogLevelTest.java,0,0,0,0,129,129,0,0,0,0,0,0,21.5
jaas/command/src/main/java/org/apache/karaf/jaas/command/GroupDeleteCommand.java,0,0,0,56,10,6,0,0,0,0,0,0,6
features/core/src/main/java/org/apache/karaf/features/RegionDigraphPersistence.java,0,0,0,0,0,0,24,0,0,0,0,0,2
client/src/main/java/org/apache/karaf/client/Main.java,3,2,206,189,288,85,358,178,70,0,12,0,115.9166667
shell/commands/src/main/java/org/apache/karaf/shell/commands/impl/LogoutAction.java,0,0,0,0,31,24,0,0,0,0,0,0,4.583333333
features/command/src/main/java/org/apache/karaf/features/command/completers/AvailableRepoNameCompleter.java,0,0,0,0,42,24,0,0,0,0,0,0,5.5
region/command/src/main/java/org/apache/karaf/region/commands/InfoCommand.java,0,0,0,0,115,115,0,0,0,0,0,0,19.16666667
shell/console/src/main/java/org/apache/karaf/shell/console/SubShellAction.java,0,0,0,0,39,1,0,0,0,0,0,0,3.333333333
log/command/src/main/java/org/apache/karaf/log/command/GetLogLevel.java,0,0,0,0,56,56,0,0,0,0,0,0,9.333333333
region/persist/src/main/java/org/apache/karaf/region/persist/internal/model/RegionsType.java,0,0,0,0,112,112,0,0,0,0,0,0,18.66666667
features/core/src/main/java/org/apache/karaf/features/Capability.java,0,0,0,0,0,23,0,0,0,0,0,0,1.916666667
subsystem/src/main/java/org/apache/karaf/subsystem/commands/InstallAction.java,0,0,0,0,0,39,0,0,0,0,0,0,3.25
shell/core/src/main/java/org/apache/karaf/shell/impl/console/loader/JarInJarConstants.java,0,0,0,0,0,0,0,0,30,0,0,0,2.5
obr/core/src/main/java/org/apache/karaf/obr/core/internal/ObrMBeanImpl.java,0,0,0,0,203,203,0,0,0,0,0,0,33.83333333
