Class,release-1.1,release-1.2,release-1.3,release-1.4,release-1.5,release-1.6,release-1.7,release-1.8,release-1.9,release-1.10,release-1.12,release-1.13,release-1.14,release-1.15,release-1.16,release-1.17,release-1.18,release-2.0,release-2.1,release-2.2,release-2.3,release-2.4,average
nutchgora/src/java/org/apache/nutch/tools/DmozParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,393,0,0,0,35.72727273
src/java/org/apache/nutch/util/ProtocolStatusStatistics.java,0,0,0,0,0,0,0,0,0,0,179,3,13,1,7,12,0,187,0,0,0,0,18.27272727
src/java/org/apache/nutch/webui/client/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
src/plugin/indexer-elastic/src/test/org/apache/nutch/indexwriter/elastic/TestElasticIndexWriter.java,0,0,0,0,0,0,0,0,0,0,0,221,13,33,4,241,0,0,0,0,0,0,23.27272727
src/plugin/parse-zip/src/java/org/apache/nutch/parse/zip/package-info.java,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,22,0,0,21,0,2.954545455
src/java/org/apache/nutch/metadata/CreativeCommons.java,0,0,0,0,0,0,0,0,0,13,0,0,0,6,2,0,0,21,0,0,13,0,2.5
src/java/org/apache/nutch/plugin/PluginRepository.java,0,0,10,10,0,0,10,108,4,34,0,35,2,0,0,0,0,157,0,10,48,11,19.95454545
src/plugin/urlnormalizer-host/src/java/org/apache/nutch/net/urlnormalizer/host/HostURLNormalizer.java,0,0,0,0,0,198,0,0,0,48,0,3,2,1,2,24,0,190,0,0,0,0,21.27272727
nutchgora/src/plugin/lib-http/src/java/org/apache/nutch/protocol/http/api/RobotRulesParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,592,0,0,0,53.81818182
src/java/org/apache/nutch/webui/client/NutchClientFactory.java,0,0,0,0,0,0,0,0,0,0,52,0,0,0,2,0,0,52,0,0,52,0,7.181818182
src/java/org/apache/nutch/util/Histogram.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,8,0,6.227272727
src/java/org/apache/nutch/webui/pages/StatisticsPage.java,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,21,0,0,21,0,2.954545455
nutchgora/src/java/org/apache/nutch/crawl/FetchSchedule.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,0,0,0,12.72727273
src/test/org/apache/nutch/webui/service/NutchServiceTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3
src/plugin/parse-html/src/java/org/apache/nutch/parse/html/HtmlParser.java,0,0,0,10,6,0,0,2,39,231,15,9,12,40,4,0,0,339,0,0,190,19,41.63636364
nutchgora/src/java/org/apache/nutch/api/DbReader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,236,0,0,0,21.45454545
src/java/org/apache/nutch/indexer/field/CustomFields.java,0,8,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.77272727
src/java/org/apache/nutch/util/hostdb/DumpHostDb.java,0,0,0,0,0,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72727273
src/java/org/apache/nutch/util/SitemapProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,489,70,101,17,3,520,0,0,0,0,54.54545455
src/plugin/query-more/src/java/org/apache/nutch/searcher/more/TypeQueryFilter.java,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.045454545
src/java/org/apache/nutch/net/protocols/ProtocolLogUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,83,0,0,0,0,7.545454545
