Class,3.0.1,3.0.2,3.1.2,3.1.3,4,4.0.1,4.0.2,4.1,4.1.1,average
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/autorelationship/InferRelationshipsDialog.java,0,0,111,0,0,0,0,0,0,12.33333333
cayenne-server/src/test/java/org/apache/cayenne/access/DataContextDisjointByIdPrefetchIT.java,0,0,0,0,221,0,0,108,62,43.44444444
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/FlattenedRelationshipInContextTest.java,0,0,52,0,100,0,0,0,0,16.88888889
cayenne-server/src/test/java/org/apache/cayenne/testdo/misc_types/SerializableEntity.java,0,0,0,0,28,0,0,0,2,3.333333333
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/dba/MockDbAdapterFactory.java,0,0,40,0,0,0,0,0,0,4.444444444
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ASTNotBetween.java,0,0,0,0,92,0,0,0,0,10.22222222
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/query/NamedQueryTest.java,0,0,0,0,104,0,0,0,0,11.55555556
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/db/load/DbImportProjectSaver.java,0,0,0,0,74,0,0,0,2,8.444444444
cayenne-server/src/main/java/org/apache/cayenne/validation/BeanValidationFailure.java,0,0,0,0,230,0,0,0,2,25.77777778
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/ejbql/parser/EJBQLAverage.java,0,0,0,0,46,0,0,0,0,5.111111111
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/EmbeddableAttributeTab.java,0,0,262,0,0,0,0,0,0,29.11111111
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/validator/ProcedureParameterErrorMsg.java,0,0,77,0,0,0,0,0,2,8.777777778
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/mt/MtTableBool.java,0,0,25,0,0,0,0,0,0,2.777777778
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/relationship/auto/_CollectionToMany.java,0,0,35,0,32,0,0,0,0,7.444444444
cayenne-server/src/main/java/org/apache/cayenne/velocity/BindObjectEqualDirective.java,0,0,0,0,164,0,0,164,0,36.44444444
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/unit/SybaseUnitDbAdapter.java,0,0,171,0,171,0,0,0,0,38
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/configuration/DataMapLoader.java,0,0,33,0,33,0,0,0,0,7.333333333
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/undo/ChangePKGeneratorUndoableEdit.java,0,0,0,0,132,0,0,0,2,14.88888889
framework/cayenne-di-unpublished/src/main/java/org/apache/cayenne/di/spi/ScopeEventBinding.java,0,0,87,0,87,0,0,0,0,19.33333333
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/codegen/CustomModePanel.java,0,0,156,0,0,0,0,0,0,17.33333333
cayenne-server/src/main/java/org/apache/cayenne/ejbql/parser/EJBQLConstructorParameter.java,0,0,0,0,36,0,0,0,2,4.222222222
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/reflect/PersistentDescriptor.java,0,0,123,0,451,0,0,0,0,63.77777778
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbentity/PKDBGeneratorPanel.java,0,0,167,0,0,0,0,0,0,18.55555556
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/dba/frontbase/FrontBaseSniffer.java,0,0,15,0,50,0,0,0,0,7.222222222
cayenne-server/src/main/java/org/apache/cayenne/dba/PerAdapterProvider.java,0,0,0,0,46,0,0,0,2,5.333333333
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/project/validator/DomainValidatorTest.java,0,0,46,0,0,0,0,0,0,5.111111111
cayenne-server/src/main/java/org/apache/cayenne/access/types/ShortType.java,0,0,0,0,86,0,0,0,2,9.777777778
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/project/validator/EJBQLQueryValidator.java,0,0,194,0,0,0,0,0,0,21.55555556
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/exp/ExpressionTraversalTest.java,0,0,32,0,58,0,0,0,0,10
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/conf/EmptyConfiguration.java,0,0,42,0,0,0,0,0,0,4.666666667
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/testmap/StringET1.java,0,0,35,0,35,0,0,0,0,7.777777778
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/dba/oracle/OracleActionBuilder.java,0,0,4,0,78,0,0,0,0,9.111111111
cayenne-joda/src/main/java/org/apache/cayenne/joda/access/types/LocalDateType.java,0,0,0,0,90,0,0,2,2,10.44444444
cayenne-server/src/test/java/org/apache/cayenne/unit/jira/CAY_207Manager1.java,0,0,0,0,36,0,0,0,2,4.222222222
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/EjbqlQueryScriptsTab.java,0,0,277,0,0,0,0,0,0,30.77777778
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParserConstants.java,0,0,39,0,132,0,0,0,0,19
cayenne-lifecycle/src/main/java/org/apache/cayenne/lifecycle/relationship/ObjectIdRelationship.java,0,0,0,0,48,0,0,0,2,5.555555556
cayenne-cgen/src/test/java/org/apache/cayenne/gen/SingleClassGenerationTest.java,0,0,0,0,86,0,0,0,2,9.777777778
