Class,drill-0.4.0,drill-0.7.0,drill-0.8.0,drill-0.9.0,drill-1.0.0,drill-1.1.0,drill-1.2.0,drill-1.3.0,drill-1.4.0,drill-1.5.0,drill-1.6.0,drill-1.7.0,drill-1.8.0,drill-1.9.0,drill1.10.0,drill-1.11.0,drill-1.12.0,drill-1.13.0,drill-1.14.0,drill-1.15.0,drill-1.16.0,drill-1.17.0,drill-1.18.0,drill-1.19.0,drill-1.20.0,,average
exec/java-exec/src/test/java/org/apache/drill/test/rowSet/test/TestVariableWidthWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0.08
exec/java-exec/src/main/java/org/apache/drill/exec/ssl/SSLConfigBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,,0.6
exec/java-exec/src/test/resources/multilevel/jsonFileMixDir/1995/Q2/orders_95_q2.json,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.04
exec/java-exec/src/test/resources/flatten/drill-2254-result-multi.json,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.12
exec/java-exec/src/main/java/org/apache/drill/exec/planner/sql/parser/SqlCreateView.java,40,14,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.04
exec/java-exec/src/main/resources/bootstrap-storage-plugins.json,30,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,178,194,20,0,0,,17.56
exec/vector/src/main/java/org/apache/drill/exec/vector/complex/impl/AbstractBaseReader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,16,0,0,,1.08
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/scan/TestColumnsArrayFramework.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,,0.6
exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/Metadata.java,0,0,0,0,0,0,2,79,0,0,95,4,127,133,71,195,398,19,0,0,0,0,0,0,0,,44.92
contrib/storage-hive/core/src/main/java/org/apache/drill/exec/store/hive/HiveDrillNativeScanBatchCreator.java,0,0,0,0,0,0,0,16,0,15,0,0,0,13,12,0,105,20,0,0,0,0,0,0,0,,7.24
exec/java-exec/src/main/java/org/apache/drill/exec/exception/FunctionNotFoundException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,,1.08
exec/java-exec/src/main/java/org/apache/drill/exec/store/sys/SystemTablePluginConfig.java,34,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.56
protocol/src/main/java/org/apache/drill/exec/proto/beans/LikeFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,185,0,0,0,,8.28
contrib/format-hdf5/src/main/java/org/apache/drill/exec/store/hdf5/HDF5DrillMetadata.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,,0.52
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/SortPrel.java,150,0,0,30,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,7.52
exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/DirectCodecPool.java,0,0,0,0,187,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14.96
exec/java-exec/src/test/resources/flatten/complex_transaction_example_data.json,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/ProducerConsumerPrel.java,84,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.76
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/metadata/MetadataAggregateHelper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,40,0,0,,15
protocol/src/main/protobuf/UserBitShared.proto,1,22,6,3,5,0,0,0,0,0,0,0,0,0,2,0,0,2,12,8,0,0,0,0,0,,2.44
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/xsort/managed/SortMemoryManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,0.24
exec/java-exec/src/test/resources/join/merge_single_batch.json,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,,3.68
contrib/format-iceberg/src/main/java/org/apache/drill/exec/store/iceberg/plan/IcebergPluginImplementor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,1.2
exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/conv/DoubleConvertFrom.java,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2
exec/jdbc/src/test/resources/bootstrap-storage-plugins.json,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.6
INSTALL.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,0.4
protocol/src/main/java/org/apache/drill/exec/proto/SchemaDefProtos.java,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.2
exec/java-exec/src/main/java/org/apache/drill/exec/planner/index/FunctionalIndexHelper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0.12
exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/AbstractFuncHolder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,4,0,0,0,,1.16
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/visitor/RuntimeFilterVisitor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,,0.76
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggregator.java,62,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,,4.12
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/visitor/JoinPrelRenameVisitor.java,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,,5.68
exec/java-exec/src/main/java/org/apache/drill/exec/physical/config/Filter.java,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.08
exec/java-exec/src/test/resources/store/parquet/complex/baseline3.json,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8
exec/java-exec/src/main/java/org/apache/drill/exec/vector/FixedWidthVector.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2
exec/java-exec/src/main/java/org/apache/drill/exec/ops/OptimizerRulesContext.java,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.68
contrib/storage-hive/core/src/main/java/org/apache/drill/exec/store/hive/HiveScan.java,35,51,73,98,0,0,27,13,19,198,3,0,0,0,17,0,56,0,0,0,0,0,6,0,0,,23.84
exec/jdbc/src/main/java/org/apache/drill/jdbc/package-info.java,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.52
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/join/TestMergeJoinAdvanced.java,0,0,0,65,0,0,0,23,17,34,0,0,0,0,0,0,0,25,160,0,0,22,0,0,0,,13.84
logical/src/main/java/org/apache/drill/common/logical/FormatPluginConfigBase.java,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.12
exec/java-exec/src/test/resources/physical_untyped_null.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,,2.24
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/scan/columns/ColumnsArrayParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,,1.6
exec/java-exec/src/main/java/org/apache/drill/exec/store/hive/HiveStoragePlugin.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.44
exec/java-exec/src/test/resources/scan_screen_logical.json,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,,3.24
exec/java-exec/src/main/java/org/apache/drill/exec/store/sys/local/FilePStore.java,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.24
exec/java-exec/src/main/java/org/apache/drill/exec/planner/fragment/StatsCollector.java,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4
exec/java-exec/src/main/java/org/apache/drill/exec/physical/config/SingleSender.java,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.32
exec/java-exec/src/test/resources/flatten/drill-2106-result.json,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.48
exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/ParquetFileSelection.java,0,0,0,0,0,0,0,0,62,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.12
exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/stat/ParquetMetaStatCollector.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,36,0,13,0,0,0,0,0,0,,2.44
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/statistics/TDigestMergedStatistic.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,0.48
exec/java-exec/src/main/java/org/apache/drill/exec/store/hive/schema/HiveSchemaFactory.java,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.92
exec/java-exec/src/test/resources/functions/string/testLpad.json,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.24
