Class,cassandra-0.4.0-final,cassandra-0.5.0,cassandra-0.6.0,cassandra-0.7.0,cassandra-0.8.0,cassandra-1.0.0,cassandra-1.1.0,cassandra-1.2.0,cassandra-2.0.0,cassandra-2.1.0,cassandra-2.2.0,cassandra-3.0.0,cassandra-3.1,cassandra-3.2,cassandra-3.3,cassandra-3.4,cassandra-3.5,cassandra-3.6,cassandra-3.7,cassandra-3.8,cassandra-4.0.0,cassandra-4.0.5,,average
src/java/org/apache/cassandra/db/SinglePartitionReadCommand.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,,0.681818182
pylib/cqlshlib/util.py,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0.090909091
src/java/org/apache/cassandra/notifications/InitialSSTableAddedNotification.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,,1.636363636
src/java/org/apache/cassandra/io/ICompactionInfo.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.090909091
test/unit/org/apache/cassandra/db/RangeTombstoneTest.java,0,0,0,0,0,0,0,0,0,293,3,0,0,0,0,0,0,0,0,0,0,0,,13.45454545
src/java/org/apache/cassandra/cql3/ReservedKeywords.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,,4.090909091
interface/gen-java/org/apache/cassandra/service/NotFoundException.java,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.090909091
src/java/org/apache/cassandra/thrift/ThriftValidation.java,0,0,6,22,370,5,220,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,29.36363636
src/java/org/apache/cassandra/scheduler/WeightedQueue.java,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.136363636
test/distributed/org/apache/cassandra/distributed/upgrade/Pre40MessageFilterTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,,2.909090909
src/java/org/apache/cassandra/net/CachingMessageProducer.java,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.409090909
src/java/org/apache/cassandra/service/paxos/PrepareCallback.java,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0.227272727
src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.818181818
src/java/org/apache/cassandra/io/util/LengthAvailableInputStream.java,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.909090909
test/unit/org/apache/cassandra/db/compaction/CompactionStrategyManagerPendingRepairTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,,0.636363636
src/java/org/apache/cassandra/service/AbstractRowResolver.java,0,0,0,0,80,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.363636364
src/java/org/apache/cassandra/db/LoadVerbHandler.java,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.636363636
src/java/org/apache/cassandra/streaming/StreamRequestMessage.java,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.772727273
src/java/org/apache/cassandra/service/ThriftValidation.java,135,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.772727273
test/resources/functions/start_cassandra.sh,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.227272727
src/java/org/apache/cassandra/service/ReadResponseResolver.java,354,243,5,26,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.22727273
interface/thrift/gen-java/org/apache/cassandra/thrift/KeySlice.java,0,0,73,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
src/java/org/apache/cassandra/db/DeletedColumn.java,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.409090909
test/unit/org/apache/cassandra/utils/FBUtilitiesTest.java,0,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.727272727
test/unit/org/apache/cassandra/io/sstable/SSTableWriterTestBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,,1.818181818
tools/fqltool/test/unit/org/apache/cassandra/fqltool/FQLReplayTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,1
src/java/org/apache/cassandra/utils/PureJavaCrc32.java,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,0.772727273
src/java/org/apache/cassandra/io/util/DataIntegrityMetadata.java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.045454545
