Class,3.0.1,3.0.2,3.1.2,3.1.3,4,4.0.1,4.0.2,4.1,4.1.1,,average
cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ExpressionParserTreeConstants.java,0,0,0,0,0,0,0,4,0,,0.444444444
cayenne-server/src/test/java/org/apache/cayenne/access/DataContextPrefetchIT.java,0,0,0,0,152,0,0,126,0,,30.88888889
cayenne-cgen/src/main/java/org/apache/cayenne/gen/ImportUtils.java,0,0,0,0,0,0,0,131,0,,14.55555556
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/codegen/EntitiesTabController.java,0,0,122,0,0,0,0,0,0,,13.55555556
cayenne-server/src/main/java/org/apache/cayenne/access/translator/batch/DefaultBatchTranslator.java,0,0,0,0,133,0,0,0,0,,14.77777778
framework/cayenne-project-unpublished/.settings/org.eclipse.jdt.core.prefs,0,0,330,0,0,0,0,0,0,,36.66666667
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/dba/derby/DerbyAdapter.java,0,2,16,0,12,0,0,0,0,,3.333333333
cayenne-server/src/main/java/org/apache/cayenne/dba/JdbcActionBuilder.java,0,0,0,0,2,0,0,0,0,,0.222222222
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/cgen/CustomModePanel.java,0,0,0,0,0,0,0,9,0,,1
cayenne-cgen/src/main/resources/templates/v4_1/client-superclass.vm,0,0,0,0,0,0,0,0,6,,0.666666667
cayenne-dbsync/src/main/java/org/apache/cayenne/dbsync/reverse/filters/TableFilter.java,0,0,0,0,0,0,0,43,0,,4.777777778
maven-plugins/cayenne-maven-plugin/src/test/java/org/apache/cayenne/tools/DbImporterMojoTest.java,0,0,0,0,15,0,0,28,0,,4.777777778
cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ASTDivide.java,0,0,0,0,32,0,0,0,0,,3.555555556
cayenne-server/src/main/java/org/apache/cayenne/access/DataDomain.java,0,0,0,0,25,0,0,0,0,,2.777777778
modeler/cayenne-modeler-generic-ext/src/main/java/org/apache/cayenne/modeler/generic/GenericPlatformInitializer.java,0,0,0,0,0,0,0,5,0,,0.555555556
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbentity/DbEntityAttributeTab.java,0,0,0,0,7,0,0,0,0,,0.777777778
cayenne-server/src/main/java/org/apache/cayenne/access/types/FloatType.java,0,0,0,0,6,0,0,0,0,,0.666666667
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/EmbeddableAttributeTab.java,0,0,32,0,0,0,0,0,0,,3.555555556
cayenne-di/src/test/java/org/apache/cayenne/di/spi/DefaultInjectorInjectionTest.java,0,0,0,0,116,0,0,0,0,,12.88888889
