Class,STRUTS_2_0_10,STRUTS_2_0_14,STRUTS_2_1_0,STRUTS_2_1_8,STRUTS_2_2_0,STRUTS_2_2_3,STRUTS_2_3_1,STRUTS_2_3_10,STRUTS_2_3_20,STRUTS_2_3_30,STRUTS_2_3_37,STRUTS_2_5,STRUTS_2_5_10,STRUTS_2_5_20,STRUTS_2_5_30,STRUTS_6_0_0,average
plugins/portlet-mocks/src/test/java/org/apache/struts2/StrutsSpringPortletMockObjectsTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.9375
plugins/portlet/src/main/java/org/apache/struts2/views/freemarker/PortletFreemarkerResult.java,12,0,12,4,0,0,0,82,0,0,0,0,0,0,0,0,6.875
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/velocity/components/AutocompleterDirective.java,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.125
core/src/main/java/com/opensymphony/xwork2/ognl/OgnlUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,64,25,0,380,29.3125
xwork-core/src/main/java/com/opensymphony/xwork2/interceptor/annotations/AnnotationParameterFilterIntereptor.java,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0.75
core/src/test/java/com/opensymphony/xwork2/util/Foo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,10,2.1875
core/src/main/java/org/apache/struts2/dispatcher/LocalizedMessage.java,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,6.5
core/src/main/java/org/apache/struts2/portlet/interceptor/PortletRequestAware.java,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8125
xwork-core/src/main/java/com/opensymphony/xwork2/util/logging/commons/CommonsLogger.java,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.25
core/src/main/java/org/apache/struts2/portlet/result/PortletVelocityResult.java,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875
apps/rest-showcase/src/main/java/org/demo/rest/example/IndexController.java,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,2
core/src/main/java/org/apache/struts2/views/freemarker/ScopesHashModel.java,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,2
apps/portlet/src/main/java/org/apache/struts2/portlet/example/FormExample.java,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875
xwork-core/src/main/java/com/opensymphony/xwork2/util/fs/FileRevision.java,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.5
core/src/main/java/org/apache/struts2/util/TextProviderHelper.java,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,74,4.75
core/src/main/java/org/apache/struts2/dispatcher/ng/PrepareOperations.java,0,0,0,18,0,0,0,45,0,2,0,0,0,0,0,0,4.0625
core/src/main/java/com/opensymphony/xwork2/util/XWorkList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,250,31.25
plugins/javatemplates/src/main/java/org/apache/struts2/views/java/simple/CheckboxListHandler.java,0,0,0,0,0,0,0,22,90,0,0,0,0,52,0,0,10.25
plugins/rest/src/main/java/org/apache/struts2/rest/RestActionMapper.java,0,0,0,9,0,0,6,0,0,24,5,22,20,0,0,0,5.375
core/src/main/java/com/opensymphony/xwork2/config/impl/AbstractMatcher.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,148,13.6875
core/src/main/java/com/opensymphony/xwork2/ognl/OgnlValueStackFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,2.1875
core/src/main/java/org/apache/struts2/dispatcher/mapper/ActionMapper.java,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.5625
core/src/main/java/org/apache/struts2/views/tiles/TilesResult.java,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875
core/src/main/java/com/opensymphony/xwork2/spring/SpringObjectFactory.java,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,1
core/src/main/java/org/apache/struts2/components/Component.java,14,36,14,2,0,0,0,0,21,20,0,0,0,0,0,106,13.3125
plugins/portlet/src/test/java/org/apache/struts2/portlet/interceptor/PortletAwareInterceptorTest.java,0,0,0,134,0,0,0,19,0,0,0,0,0,0,0,0,9.5625
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/velocity/components/AnchorDirective.java,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.125
xwork-core/src/test/java/com/opensymphony/xwork2/conversion/impl/AnnotationXWorkConverterTest.java,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.625
plugins/jfreechart/src/main/java/org/apache/struts2/dispatcher/ChartResult.java,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0.8125
core/src/main/java/org/apache/struts2/portlet/result/PortletResult.java,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.625
plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsWildcardServletApplicationContext.java,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,1
plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsApplicationResource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,2.25
xwork-core/src/test/java/com/opensymphony/xwork2/interceptor/annotations/AnnotationParameterFilterUnitTest.java,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,6.5625
core/src/main/java/org/apache/struts2/util/tomcat/buf/ByteChunk.java,0,0,0,0,0,0,0,0,0,935,0,935,935,0,0,0,175.3125
plugins/json/src/test/java/org/apache/struts2/json/JSONWriterTest.java,0,0,0,0,0,63,40,0,0,0,0,0,0,0,0,0,6.4375
core/src/main/java/com/opensymphony/xwork2/ActionSupport.java,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0.4375
plugins/portlet/src/main/java/org/apache/struts2/portlet/context/PortletActionContext.java,0,0,0,9,0,0,0,122,0,0,0,0,0,0,0,0,8.1875
core/src/main/java/org/apache/struts2/views/jsp/ui/ResetTag.java,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,11,1.5
plugins/junit-portlet/src/main/java/org/apache/struts2/mock/web/portlet/MockPortletURL.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,7.5625
plugins/convention/src/test/java/org/apache/struts2/convention/actions/result/GlobalResultAction.java,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1
core/src/main/java/org/apache/struts2/util/tomcat/buf/UDecoder.java,0,0,0,0,0,0,0,0,0,421,0,427,427,0,0,0,79.6875
core/src/main/java/org/apache/struts2/interceptor/SessionAware.java,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
xwork-core/src/main/java/com/opensymphony/xwork2/ognl/accessor/CompoundRootAccessor.java,0,0,0,0,0,0,0,3,57,0,0,0,0,0,0,0,3.75
core/src/main/java/org/apache/struts2/util/tomcat/buf/CharChunk.java,0,0,0,0,0,0,0,0,0,700,0,700,700,0,0,0,131.25
core/src/test/java/org/apache/struts2/dispatcher/DispatcherTest.java,12,0,0,40,0,0,0,60,4,0,0,0,0,74,83,40,19.5625
xwork-core/src/main/java/com/opensymphony/xwork2/security/DefaultAcceptedPatternsChecker.java,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,5.375
core/src/test/java/org/apache/struts2/interceptor/DateTextFieldInterceptorTest.java,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,3.625
xwork-core/src/main/java/com/opensymphony/xwork2/config/entities/ActionConfig.java,0,0,0,0,0,0,21,13,2,0,0,0,0,0,0,0,2.25
xwork-core/src/main/java/com/opensymphony/xwork2/DefaultActionInvocation.java,0,0,0,0,0,0,0,0,81,18,0,0,0,0,0,0,6.1875
core/src/main/java/com/opensymphony/xwork2/interceptor/ParametersInterceptor.java,0,0,0,0,0,0,0,0,0,0,0,29,8,0,45,43,7.8125
xwork-core/src/main/java/com/opensymphony/xwork2/conversion/impl/DateConverter.java,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,6.3125
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/freemarker/tags/BindModel.java,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,5.375
core/src/test/java/org/apache/struts2/views/jsp/IteratorTagTest.java,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,98,11.5
