Class,karaf-2.1.0,karaf-2.2.0,karaf-2.3.0,karaf-2.4.0,karaf-3.0.0,karaf-4.0.0,karaf-4.1.0,karaf-4.2.0,karaf-4.3.0,karaf-4.3.1,karaf-4.4.0,karaf-4.4.1,average
tooling/karaf-maven-plugin/src/test/java/org/apache/karaf/tooling/features/AddToRepositoryMojoTest.java,0,0,0,0,49,0,0,0,0,0,0,0,4.083333333
main/src/main/java/org/apache/karaf/main/BundleInfo.java,0,0,0,0,21,0,0,0,0,0,0,0,1.75
shell/core/src/main/java/org/apache/karaf/shell/impl/console/osgi/secured/SecuredSessionFactoryImpl.java,0,0,0,0,0,2,0,20,25,0,0,0,3.916666667
itests/test/src/test/java/org/apache/karaf/itests/EquinoxTest.java,0,0,0,0,0,0,0,0,2,0,0,0,0.166666667
audit/src/main/java/org/apache/karaf/audit/Activator.java,0,0,0,0,0,0,0,0,2,0,0,0,0.166666667
shell/scr/src/main/java/org/apache/karaf/shell/scr/support/IdComparator.java,0,0,0,33,0,0,0,0,0,0,0,0,2.75
shell/core/src/main/java/org/apache/karaf/shell/support/completers/UriCompleter.java,0,0,0,0,0,0,59,0,0,0,0,0,4.916666667
itests/test/src/test/java/org/apache/karaf/itests/examples/ConfigExampleTest.java,0,0,0,0,0,0,0,0,4,0,0,0,0.333333333
main/src/test/java/org/apache/karaf/main/MockLock.java,0,0,0,64,66,2,0,0,4,0,0,0,11.33333333
dev/command/src/main/java/org/apache/karaf/dev/command/AbstractBundleCommand.java,0,0,0,0,12,0,0,0,0,0,0,0,1
bundle/core/src/main/java/org/apache/karaf/bundle/command/Install.java,0,0,0,0,0,0,26,0,0,0,0,0,2.166666667
main/src/main/java/org/osgi/service/permissionadmin/package-info.java,0,0,0,0,32,0,0,0,0,0,0,0,2.666666667
services/staticcm/src/main/java/org/apache/karaf/services/staticcm/Configurations.java,0,0,0,0,0,0,0,0,55,0,0,0,4.583333333
tooling/exam/container/src/main/java/org/apache/karaf/tooling/exam/container/internal/runner/Runner.java,0,0,2,0,16,0,0,0,0,0,0,0,1.5
itests/src/test/java/org/apache/karaf/itests/features/PaxCdiFeaturesTest.java,0,0,0,0,0,97,0,0,0,0,0,0,8.083333333
features/core/src/main/java/org/apache/karaf/features/internal/repository/UrlLoader.java,0,0,0,0,0,0,4,22,0,0,0,0,2.166666667
features/core/src/test/java/org/apache/karaf/features/Slf4jResolverLog.java,0,0,0,0,0,0,49,0,0,0,0,0,4.083333333
diagnostic/core/src/main/java/org/apache/karaf/diagnostic/core/DiagnosticDumpMBean.java,0,0,0,0,6,0,0,0,0,0,0,0,0.5
management/server/src/main/java/org/apache/karaf/management/RmiRegistryFactory.java,0,0,0,0,0,0,24,0,0,0,0,0,2
log/core/src/test/java/org/apache/karaf/log/core/internal/SetLogLevelTest.java,0,0,0,0,103,0,0,0,0,0,0,0,8.583333333
features/core/src/main/java/org/apache/karaf/features/RegionDigraphPersistence.java,0,0,0,0,0,0,24,0,0,0,0,0,2
http/src/main/java/org/apache/karaf/http/core/internal/osgi/Activator.java,0,0,0,0,0,0,23,0,0,0,0,0,1.916666667
scr/management/src/main/java/org/apache/karaf/scr/management/ScrServiceMBean.java,0,0,0,0,29,0,0,0,0,0,0,0,2.416666667
log/src/main/java/org/apache/karaf/log/core/internal/LogServiceLog4j1Impl.java,0,0,0,0,0,0,2,0,0,0,0,0,0.166666667
client/src/main/java/org/apache/karaf/client/Main.java,3,0,144,60,178,4,31,158,28,0,0,0,50.5
features/command/src/main/java/org/apache/karaf/features/command/completers/AvailableRepoNameCompleter.java,0,0,0,0,16,0,0,0,0,0,0,0,1.333333333
features/core/src/main/java/org/apache/karaf/features/internal/FeaturesNamespaces.java,0,0,0,0,37,0,0,0,0,0,0,0,3.083333333
log/command/src/main/java/org/apache/karaf/log/command/GetLogLevel.java,0,0,0,0,30,0,0,0,0,0,0,0,2.5
shell/console/src/test/java/org/apache/karaf/shell/console/ExampleSubclassMain.java,0,0,19,5,23,0,0,0,0,0,0,0,3.916666667
obr/core/src/main/java/org/apache/karaf/obr/core/internal/ObrMBeanImpl.java,0,0,0,0,207,0,0,0,0,0,0,0,17.25
shell/wrapper/src/main/java/org/apache/karaf/shell/wrapper/InstallCommand.java,0,0,142,2,0,0,0,0,0,0,0,0,12
tooling/exam/options/src/main/java/org/apache/karaf/tooling/exam/options/configs/CustomProperties.java,0,0,7,0,0,0,0,0,0,0,0,0,0.583333333
jdbc/src/main/java/org/apache/karaf/jdbc/internal/JdbcServiceImpl.java,0,0,0,0,0,91,0,26,0,0,0,0,9.75
shell/core/src/main/java/org/apache/karaf/shell/impl/action/osgi/CommandExtension.java,0,0,0,0,0,6,0,18,0,0,0,0,2
admin/core/src/main/java/org/apache/karaf/admin/InstanceSettings.java,0,0,0,14,0,0,0,0,0,0,0,0,1.166666667
shell/console/src/main/java/org/apache/karaf/shell/util/ShellUtil.java,0,0,0,0,59,43,0,0,0,0,0,0,8.5
itests/test/src/test/java/org/apache/karaf/itests/examples/SchedulerExampleTest.java,0,0,0,0,0,0,0,0,4,0,6,0,0.833333333
