Class,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,,average
src/org/apache/pig/builtin/RoundRobinPartitioner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,0.733333333
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigStatsOutputSizeReader.java,0,0,0,0,0,0,0,0,0,55,7,1,0,0,0,,4.2
contrib/zebra/src/test/e2e/pruning/join2.pig,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,,3.866666667
test/org/apache/pig/test/TestInputOutputFileValidator.java,0,0,0,0,0,49,49,0,7,0,10,0,0,0,0,,7.666666667
test/perf/pigmix/build.xml,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,,0.666666667
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/NEXTUP.java,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,,0.266666667
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-MQ-1-OPTOFF.gld,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,,2.4
src/org/apache/pig/data/BinSedesTuple.java,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,,0.933333333
src/org/apache/pig/backend/hadoop/BigIntegerWritable.java,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,,0.666666667
src/org/apache/pig/tools/pigstats/InputStats.java,0,0,0,0,0,11,11,2,0,0,30,0,0,0,0,,3.6
test/org/apache/pig/test/TestProjectStarExpander.java,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,,1.866666667
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestTableMergeJoin.java,0,0,0,0,0,4,4,0,0,0,240,240,0,0,0,,32.53333333
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POSortedDistinct.java,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,,1.066666667
contrib/zebra/src/java/org/apache/hadoop/zebra/types/SubColumnExtraction.java,0,0,0,0,0,0,0,0,0,0,427,427,0,0,0,,56.93333333
contrib/zebra/src/test/org/apache/hadoop/zebra/tfile/TestTFileNoneCodecsByteArrays.java,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,,4.266666667
test/e2e/pig/conf/default.conf,0,0,0,0,0,0,0,10,12,2,5,6,0,0,0,,2.333333333
contrib/zebra/src/java/org/apache/hadoop/zebra/io/BasicTableStatus.java,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,,14.66666667
test/org/apache/pig/test/TestNewPlanFilterAboveForeach.java,0,0,0,0,0,1322,1367,30,0,0,0,0,0,14,0,,182.2
src/org/apache/pig/impl/logicalLayer/LOFilter.java,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,,0.8
contrib/zebra/src/test/org/apache/hadoop/zebra/types/TestStorageGrammar.java,0,0,0,0,0,0,0,0,0,0,860,860,0,0,0,,114.6666667
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestSimpleType.java,0,0,0,0,0,0,0,0,0,0,529,529,0,0,0,,70.53333333
test/org/apache/pig/test/TestPigServerWithMacros.java,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,,8.2
contrib/zebra/src/test/e2e/mergeJoin/mergeNotCommonKey.pig,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,,5.066666667
test/e2e/harness/TestDriver.pm,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,,1.333333333
src/org/apache/pig/pen/physicalOperators/POStreamLocal.java,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,,11.2
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/util/ToBag.java,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,,0.8
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-LoadStore-1.gld,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,,3.466666667
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-Union-5-OPTOFF.gld,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0.133333333
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestCheckin4.java,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,,4.8
contrib/zebra/src/java/org/apache/hadoop/zebra/pig/package-info.java,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,,2.933333333
test/org/apache/pig/test/TestStoreOld.java,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,,2.533333333
src/org/apache/pig/data/NonSpillableDataBag.java,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,0.266666667
contrib/zebra/src/test/stress/stress_union_02.pig,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,,5.066666667
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestTableSortStorerDesc.java,0,0,0,0,0,4,4,0,0,0,187,187,0,0,0,,25.46666667
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/SIGNUM.java,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,,0.266666667
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/HiveColumnarLoader.java,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,,3.133333333
bin/pig.cmd,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,,2.333333333
test/org/apache/pig/test/TestSplitCombine.java,0,0,0,0,0,37,37,0,0,0,0,0,0,0,0,,4.933333333
test/org/apache/pig/test/TestLogicalPlanBuilder.java,0,0,0,0,0,84,210,139,24,13,0,4,0,4,623,,73.4
src/org/apache/pig/newplan/logical/expression/ExpToPhyTranslationVisitor.java,0,0,0,0,0,20,25,5,0,0,0,0,0,0,0,,3.333333333
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestTableMergeJoinFloat.java,0,0,0,0,0,0,0,0,0,0,210,210,0,0,0,,28
src/org/apache/pig/data/SchemaTupleFactory.java,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,,1.6
test/org/apache/pig/test/TestEmptyInputDir.java,0,0,0,0,0,229,229,0,0,0,0,0,0,0,0,,30.53333333
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/util/PlanHelper.java,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,,1.866666667
src/org/apache/pig/builtin/DoubleRound.java,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,,0.266666667
src/org/apache/pig/backend/hadoop/executionengine/tez/util/MRToTezHelper.java,0,0,0,0,0,0,0,0,0,0,0,45,120,6,10,,12.06666667
test/org/apache/pig/test/TestPlanGeneration.java,0,0,0,0,0,0,178,314,136,0,8,0,0,0,283,,61.26666667
src/org/apache/pig/newplan/logical/expression/DivideExpression.java,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0.133333333
contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/evaluation/xml/XPathAllTest.java,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,,24.46666667
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigBigIntegerRawComparator.java,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,,1.066666667
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/POStatus.java,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,,3.2
src/org/apache/pig/parser/ParserValidationException.java,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,,1.2
contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/evaluation/datetime/truncate/TestTruncateDateTime.java,0,0,0,0,0,0,246,0,0,0,0,52,52,0,0,,23.33333333
test/org/apache/pig/test/TestMultiQueryCompiler.java,0,0,0,0,0,0,0,0,32,49,57,0,0,2,0,,9.333333333
src/org/apache/pig/parser/StreamingCommandUtils.java,0,0,0,0,0,0,52,0,0,72,0,0,0,0,0,,8.266666667
test/excluded-tests-tez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0.133333333
