Class,rel/0.18.0,rel/0.19.0,rel/0.20.0,rel/0.90.0,rel/0.92.0,rel/0.94.0,rel/0.96.0,rel/0.98.0,rel/0.99.0,rel/1.0.0,rel/1.1.0,rel/1.2.0,rel/1.3.0,rel/1.4.0,rel/1.5.0,rel/1.6.0,rel/1.7.0,rel/2.0.0,rel/2.1.0,rel/2.2.0,rel/2.3.0,rel/2.4.0,rel/3.0.0-alpha-1,rel/3.0.0-alpha-3,average
hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/snapshot/TestMobExportSnapshot.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,3,3,69,0,5.875
hbase-server/src/main/java/org/apache/hadoop/hbase/thrift/generated/ColumnDescriptor.java,0,0,0,0,0,0,1236,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.9583333
src/test/org/apache/hadoop/hbase/client/TestOldAPITimestamp.java,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333
hbase-rest/src/test/java/org/apache/hadoop/hbase/rest/TestMultiRowResource.java,0,0,0,0,0,0,0,0,0,182,0,0,0,49,57,0,0,245,0,35,3,0,35,0,25.25
hbase-it/src/test/java/org/apache/hadoop/hbase/IntegrationTestIngestWithTags.java,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
hbase-server/src/main/java/org/apache/hadoop/hbase/thrift/generated/TRegionInfo.java,0,0,0,0,0,0,1046,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.875
src/test/java/org/apache/hadoop/hbase/constraint/TestConstraint.java,0,0,0,0,0,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/protobuf/generated/ColumnAggregationWithNullResponseProtos.java,0,0,0,0,0,0,0,0,0,0,0,0,315,315,0,0,0,315,0,0,0,0,0,0,39.375
hbase-rest/src/test/java/org/apache/hadoop/hbase/rest/model/TestColumnSchemaModel.java,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,78,0,0,0,0,0,0,6.833333333
hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/NoopOperationQuota.java,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0.625
hbase-client/src/main/java/org/apache/hadoop/hbase/client/ConnectionManager.java,0,0,0,0,0,0,0,0,260,139,237,118,254,150,149,39,65,394,0,0,0,0,0,0,75.20833333
hbase-server/src/test/java/org/apache/hadoop/hbase/wal/WALPerformanceEvaluation.java,0,0,0,0,0,0,0,0,0,96,33,0,3,3,0,0,0,123,10,10,2,0,20,0,12.5
hbase-protocol-shaded/src/main/java/org/apache/hadoop/hbase/shaded/com/google/protobuf/NullValue.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,324,0,31.66666667
hbase-server/src/test/java/org/apache/hadoop/hbase/snapshot/TestFlushSnapshotFromClient.java,0,0,0,0,0,0,91,91,0,16,16,0,0,2,2,0,0,74,0,0,134,0,133,0,23.29166667
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionMergeRequest.java,0,0,0,0,0,0,2,2,6,0,0,14,7,0,0,0,0,12,0,0,0,0,0,0,1.791666667
src/main/java/org/apache/hadoop/hbase/rest/client/RemoteHTable.java,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333
src/test/java/org/apache/hadoop/hbase/regionserver/TestHRegionOnCluster.java,0,0,0,0,0,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16666667
