Class,Xerces-J_1_1_0,Xerces-J_1_2_0,Xerces-J_1_3_0,Xerces-J_1_4_0,Xerces-J_2_0_0,Xerces-J_2_1_0,Xerces-J_2_2_0,Xerces-J_2_3_0,Xerces-J_2_4_0,Xerces-J_2_5_0,Xerces-J_2_6_0,Xerces-J_2_7_0,Xerces-J_2_8_0,Xerces-J_2_9_0,Xerces-J_2_10_0,Xerces-J_2_11_0,Xerces-J_2_12_0,,average
src/org/apache/xerces/impl/xpath/regex/RegexParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,18,98,4,3,,7.235294118
src/org/apache/html/dom/HTMLDocumentImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,,2.117647059
src/org/apache/xerces/impl/xpath/regex/Token.java,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,1,,1.823529412
src/org/apache/xerces/impl/XMLDocumentFragmentScannerImpl.java,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,,1.058823529
src/org/apache/xerces/dom/PSVIElementNSImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0.176470588
src/org/apache/xerces/dom/DOMConfigurationImpl.java,0,0,0,0,0,0,0,0,0,0,0,66,0,23,38,0,0,,7.470588235
src/org/apache/wml/dom/WMLDocumentImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,0.529411765
src/org/apache/xerces/impl/xs/identity/IdentityConstraint.java,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0.117647059
src/org/apache/xerces/impl/xs/util/XSNamedMapImpl.java,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,,1.470588235
src/org/apache/xerces/impl/xs/opti/SchemaDOM.java,0,0,0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,,4.294117647
src/org/apache/xerces/dom/EntityImpl.java,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,,0.470588235
src/org/apache/xerces/dom/AttrNSImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,,1.411764706
tests/schema/config/RootTypeDefinitionTest.java,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,,1.529411765
src/org/apache/xerces/dom/DocumentFragmentImpl.java,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0.176470588
src/org/apache/xerces/dom/ElementImpl.java,0,0,0,0,0,0,0,0,0,0,0,19,0,0,22,0,0,,2.411764706
src/org/apache/xerces/impl/xs/traversers/XSDGroupTraverser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,0.352941176
src/org/apache/xerces/parsers/AbstractDOMParser.java,0,0,0,0,0,0,0,0,0,0,0,4,0,27,106,0,0,,8.058823529
docs/faq-dom.xml,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,0.235294118
src/org/apache/xerces/parsers/DOMParserImpl.java,0,0,0,0,0,0,0,0,0,0,0,68,0,118,2,0,0,,11.05882353
docs/faq-general.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0.117647059
src/org/apache/xerces/util/XMLLocatorWrapper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,,6.411764706
src/org/apache/xerces/impl/xs/models/XSAllCM.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0.117647059
src/org/apache/xerces/impl/dv/xs/DateTimeDV.java,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,0,,1.411764706
src/org/apache/xerces/jaxp/validation/XMLSchemaValidatorComponentManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,,1.647058824
src/org/apache/xerces/xni/QName.java,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,0.294117647
src/org/apache/xerces/impl/xs/XSAttributeGroupDecl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,,1.588235294
src/org/apache/xerces/impl/xs/XSModelGroupImpl.java,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,,0.352941176
src/org/apache/xerces/impl/xs/traversers/XSDComplexTypeTraverser.java,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,0,0,,1.529411765
src/org/apache/xerces/impl/xs/XMLSchemaLoader.java,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,27,0,,1.823529412
src/org/apache/xerces/jaxp/datatype/DurationImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,,0.294117647
src/org/apache/xerces/impl/msg/XMLMessages.properties,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.117647059
src/org/apache/xerces/impl/XMLDTDScannerImpl.java,0,0,0,0,0,0,0,0,0,0,0,4,19,0,18,0,0,,2.411764706
src/org/apache/xerces/dom/DocumentImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,0.705882353
src/org/apache/xerces/impl/dv/xs/AnyURIDV.java,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,0.235294118
src/org/apache/xerces/impl/xs/identity/Field.java,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,,2.411764706
src/org/apache/xerces/impl/xs/SchemaGrammar.java,0,0,0,0,0,0,0,0,0,0,0,53,0,0,69,0,2,,7.294117647
src/org/apache/xerces/impl/xs/XSAttributeDecl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,,1.058823529
src/org/apache/xerces/xpointer/ElementSchemePointer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,0.823529412
src/org/apache/xerces/impl/xs/util/XSNamedMap4Types.java,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,,0.470588235
src/org/apache/xerces/impl/dv/xs/MonthDV.java,0,0,0,0,0,0,0,0,0,0,0,40,0,0,6,0,0,,2.705882353
src/org/apache/xerces/dom/PSVIDOMImplementationImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,0.411764706
src/org/apache/xerces/impl/xpath/regex/ParserForXMLSchema.java,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,37,,4.117647059
src/org/apache/xerces/util/URI.java,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,,2.764705882
tests/schema/config/BaseTest.java,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,,0.411764706
src/org/apache/xerces/impl/xpath/regex/RangeToken.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0.117647059
src/org/apache/xerces/impl/xs/models/XSDFACM.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,,13.17647059
src/org/apache/xerces/dom/DOMImplementationImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,0.823529412
src/org/apache/xerces/dom/NodeImpl.java,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,21,,1.705882353
src/org/apache/html/dom/HTMLFormElementImpl.java,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,0.705882353
src/org/apache/xml/serialize/DOMSerializerImpl.java,0,0,0,0,0,0,0,0,0,0,0,118,195,0,0,0,0,,18.41176471
src/org/apache/xerces/dom/AttrImpl.java,0,0,0,0,0,0,0,0,0,0,0,8,0,0,25,0,0,,1.941176471
src/org/apache/xerces/dom/NotationImpl.java,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,1.058823529
