Class,REL_1_5_1,REL_2_5_1,REL_3_0,REL_3_1_FINAL,REL_3_2_FINAL,REL_3_5-FINAL,REL_3_6,REL_3_7,REL_3_8_FINAL,REL_3_9,REL_3_10_FINAL,REL_3_11_FINAL,REL_3_12_FINAL,REL_3_13_FINAL,REL_3_14_FINAL,REL_3_15_FINAL,REL_3_16_FINAL,REL_3_17_FINAL,REL_4_0_0_FINAL,REL_4_1_0,REL_5_0_0,REL_5_1_0,REL_5_2_0,REL_5_2_2,,average
src/java/org/apache/poi/hssf/record/aggregates/SharedValueManager.java,0,0,0,0,0,131,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.625
src/java/org/apache/poi/ss/formula/functions/Vlookup.java,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.625
src/java/org/apache/poi/hssf/record/formula/eval/UnaryMinusEval.java,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.208333333
src/testcases/org/apache/poi/hssf/record/TestCommonObjectDataSubRecord.java,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.333333333
src/scratchpad/src/org/apache/poi/hwpf/model/OldFfn.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,6,0,0,0,0,0,0,,6.958333333
src/scratchpad/src/org/apache/poi/hemf/record/emfplus/HemfPlusHeader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,,5.25
src/testcases/org/apache/poi/ss/usermodel/BaseTestDataFormat.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,1.25
src/java/org/apache/poi/hssf/record/aggregates/SharedFormulaHolder.java,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
src/testcases/org/apache/poi/ss/formula/BaseTestExternalFunctions.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,,0.625
src/scratchpad/src/org/apache/poi/hslf/record/Comment2000Atom.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,0.291666667
src/scratchpad/src/org/apache/poi/hemf/record/UnimplementedHemfRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,,2.125
src/testcases/org/apache/poi/ss/usermodel/BaseTestCell.java,0,0,0,0,0,0,0,0,0,0,0,0,72,57,18,312,0,0,51,118,12,0,0,0,,26.66666667
src/ooxml/java/org/apache/poi/xslf/XSLFSlideShow.java,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,,0.75
src/java/org/apache/poi/hssf/record/aggregates/DataValidityTable.java,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.66666667
src/ooxml/testcases/org/apache/poi/xssf/usermodel/charts/TestXSSFCategoryAxis.java,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.666666667
src/java/org/apache/poi/ss/formula/functions/DGet.java,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,,2.458333333
src/testcases/org/apache/poi/poifs/nio/TestDataSource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,,7.625
src/java/org/apache/poi/hssf/record/formula/AreaAPtg.java,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.833333333
src/testcases/org/apache/poi/ss/formula/functions/TestValue.java,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.125
src/java/org/apache/poi/hssf/record/formula/Ref2DPtgBase.java,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.666666667
src/scratchpad/src/org/apache/poi/hwpf/sprm/TableSprmUncompressor.java,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,,2.916666667
src/scratchpad/src/org/apache/poi/hslf/record/PositionDependentRecordContainer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,0.166666667
src/ooxml/java/org/apache/poi/xwpf/usermodel/IBody.java,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.125
src/testcases/org/apache/poi/ss/usermodel/BaseTestFormulaEvaluator.java,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,16,0,0,356,112,0,0,0,0,,20.95833333
src/documentation/xdocs/poifs/how-to.xml,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.041666667
src/testcases/org/apache/poi/ss/formula/functions/TestIndexFunctionFromSpreadsheet.java,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.666666667
src/examples/src/org/apache/poi/poifs/poibrowser/DocumentDescriptor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,0.291666667
src/java/org/apache/poi/hssf/record/formula/IntPtg.java,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.291666667
src/java/org/apache/poi/hssf/record/SharedValueRecordBase.java,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.083333333
src/scratchpad/testcases/org/apache/poi/hslf/usermodel/TestHSLFSlideShow.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,,1.458333333
src/java/org/apache/poi/hpsf/MutableProperty.java,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.208333333
src/testcases/org/apache/poi/hssf/record/formula/eval/TestUnaryPlusEval.java,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.458333333
src/testcases/org/apache/poi/hpsf/basic/TestWriteWellKnown.java,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,,21.79166667
src/testcases/org/apache/poi/hssf/usermodel/TestHSSFWorkbook.java,0,21,52,0,488,5,0,0,92,14,163,0,33,0,73,210,9,0,0,0,0,0,0,0,,48.33333333
src/java/org/apache/poi/sl/draw/DrawFontManagerDefault.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,52,0,0,0,,6.375
src/ooxml/testcases/org/apache/poi/xssf/usermodel/TestXSSFConditionalFormatting.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,0.166666667
