Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,,average
src/main/org/apache/tools/ant/types/selectors/SelectorContainer.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/FixCRLF.java,0,0,0,0,0,0,14,0,0,0,,1.4
docs/manual/OptionalTasks/cab.html,0,0,0,0,0,6,0,0,0,0,,0.6
src/main/org/apache/tools/ant/taskdefs/optional/ssh/Directory.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/using.html,0,0,0,0,0,0,0,4,3,0,,0.7
src/main/org/apache/tools/ant/filters/FixCrLfFilter.java,0,0,0,0,0,0,0,10,0,0,,1
src/testcases/org/apache/tools/ant/taskdefs/optional/ANTLRTest.java,0,0,0,0,22,0,0,0,0,0,,2.2
src/main/org/apache/tools/ant/taskdefs/optional/ANTLR.java,0,0,0,99,9,0,0,0,0,0,,10.8
src/tests/antunit/taskdefs/subant-test.xml,0,0,0,0,0,0,26,0,0,0,,2.6
src/main/org/apache/tools/ant/taskdefs/optional/TraXLiaison.java,0,0,0,0,0,28,0,0,0,0,,2.8
src/main/org/apache/tools/ant/taskdefs/optional/splash/SplashTask.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/TarFileSet.java,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/optional/ScriptCondition.java,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTypes/selectors.html,0,0,0,0,0,13,0,0,0,0,,1.3
src/main/org/apache/tools/ant/util/regexp/RegexpMatcher.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/antunit/taskdefs/concat-test.xml,0,0,0,0,0,0,0,10,0,0,,1
src/main/org/apache/tools/ant/util/PackageNameMapper.java,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/OptionalTasks/antlr.html,0,0,0,26,0,0,0,0,0,0,,2.6
src/main/org/apache/tools/ant/listener/MailLogger.java,0,0,0,0,0,0,0,4,0,0,,0.4
docs/manual/CoreTasks/exec.html,0,0,0,0,0,0,11,0,0,0,,1.1
manual/Tasks/componentdef.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/net/TelnetTask.java,0,0,0,0,0,11,0,0,0,0,,1.1
src/main/org/apache/tools/ant/taskdefs/optional/j2ee/JonasHotDeploymentTool.java,0,0,0,0,0,0,0,4,0,0,,0.4
docs/manual/CoreTasks/jar.html,0,0,0,0,2,0,0,0,0,0,,0.2
src/etc/testcases/filters/tokenfilter.xml,0,0,0,0,9,0,0,0,0,0,,0.9
manual/Types/classfileset.html,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/OptionalTasks/vss.html,0,0,0,0,0,16,0,0,0,0,,1.6
src/main/org/apache/tools/ant/taskdefs/optional/ssh/Scp.java,0,0,0,0,0,0,0,2,98,0,,10
src/main/org/apache/tools/ant/util/facade/ImplementationSpecificArgument.java,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/taskdefs/rmic/WLRmic.java,0,0,0,0,0,0,10,2,0,0,,1.2
src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSSConstants.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/echoproperties.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/Componentdef.java,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Types/antlib.html,0,0,0,0,0,0,0,4,5,0,,0.9
src/main/org/apache/tools/ant/taskdefs/optional/jsp/JspC.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/etc/testcases/taskdefs/jar.xml,0,0,0,0,8,0,0,0,0,0,,0.8
src/main/org/apache/tools/ant/taskdefs/optional/ejb/EjbJar.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/netrexxc.html,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Tasks/typedef.html,0,0,0,0,0,0,0,2,0,0,,0.2
manual/listeners.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/antunit/types/resources/test.xml,0,0,0,0,0,0,0,0,57,0,,5.7
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4HandlerAdapter.java,0,0,0,0,95,0,0,0,0,0,,9.5
src/etc/testcases/taskdefs/zip.xml,0,0,0,0,22,0,0,0,0,0,,2.2
src/main/org/apache/tools/ant/util/depend/bcel/DependencyVisitor.java,0,0,0,0,0,0,0,2,0,0,,0.2
manual/Tasks/javac.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/property/LocalProperties.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/DirectoryScanner.java,0,0,0,0,0,17,0,0,0,0,,1.7
src/main/org/apache/tools/ant/util/depend/bcel/AncestorAnalyzer.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/unix/AbstractAccessTask.java,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/OptionalTasks/jpcoverage.html,0,0,0,0,0,60,0,0,0,0,,6
src/main/org/apache/tools/ant/types/ArchiveScanner.java,0,0,0,0,0,0,5,2,0,0,,0.7
docs/manual/OptionalTasks/jspc.html,0,0,0,0,14,0,0,0,0,0,,1.4
src/main/org/apache/tools/ant/taskdefs/Tar.java,0,0,0,0,0,0,4,0,0,0,,0.4
manual/Tasks/style.html,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Tasks/scriptdef.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/junit/org/apache/tools/ant/taskdefs/email/MessageTest.java,0,0,0,0,0,0,0,62,0,0,,6.2
src/main/org/apache/tools/ant/util/JavaEnvUtils.java,0,0,0,0,0,0,0,4,4,0,,0.8
src/etc/junit-frames.xsl,0,0,0,0,0,0,5,0,6,0,,1.1
src/etc/testcases/filters/input/replacetokens.test,0,0,0,0,2,0,0,0,0,0,,0.2
manual/Tasks/renameextensions.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/ejb/WebsphereDeploymentTool.java,0,0,0,0,0,0,0,4,0,0,,0.4
docs/manual/CoreTasks/signjar.html,0,0,0,0,0,27,0,0,0,0,,2.7
src/main/org/apache/tools/ant/util/SymbolicLinkUtils.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/zip/AbstractUnicodeExtraField.java,0,0,0,0,0,0,0,4,0,0,,0.4
