Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,,average
activemq-core/src/test/java/org/apache/activemq/bugs/DoubleExpireTest.java,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,,7.631578947
activemq-core/src/test/java/org/apache/activemq/broker/region/cursors/CursorSupport.java,0,178,0,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.57894737
activemq-core/src/test/java/org/apache/activemq/broker/RecoveryBrokerTest.java,0,112,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.315789474
activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/sasl/AbstractSaslMechanism.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,,0.894736842
activemq-broker/src/main/java/org/apache/activemq/util/BrokerSupport.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,,0.789473684
activemq-core/src/main/java/org/apache/activemq/broker/view/package.html,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.842105263
activemq-web-console/src/main/webapp/WEB-INF/web.xml,18,0,0,0,0,21,0,0,0,0,10,17,0,0,9,20,3,0,0,,5.157894737
activemq-core/src/main/java/org/apache/activemq/ActiveMQSslConnectionFactory.java,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,,8.578947368
activemq-client/src/main/java/org/apache/activemq/transport/discovery/simple/SimpleDiscoveryAgent.java,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,48,0,0,0,,4.315789474
activemq-core/src/main/java/org/apache/activemq/openwire/v5/ConnectionIdMarshaller.java,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.789473684
activemq-client/src/main/java/org/apache/activemq/openwire/v11/ActiveMQBytesMessageMarshaller.java,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,,6
assembly/src/test/resources/org/apache/activemq/usecases/sender-zeroconf.xml,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.894736842
activemq-core/src/test/java/org/apache/activemq/broker/region/cursors/StoreQueueCursorNoDuplicateTest.java,0,0,0,0,123,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,6.736842105
assembly/src/test/java/org/apache/activemq/usecases/ThreeBrokerQueueNetworkTest.java,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.31578947
activemq-core/src/main/java/org/apache/activemq/command/ActiveMQDestination.java,0,4,0,0,0,25,0,23,0,0,0,0,0,0,0,0,0,0,0,,2.736842105
activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/Stomp11Test.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,69,45,,9.947368421
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v8/LastPartialCommandMarshaller.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.052631579
activemq-core/src/main/java/org/apache/activemq/openwire/v4/NetworkBridgeFilterMarshaller.java,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/AbortSlowAckConsumerStrategy.java,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,37,0,,2.631578947
activemq-unit-tests/src/test/java/org/apache/activemq/broker/jmx/SelectiveMBeanRegistrationTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,34,0,0,0,,9.736842105
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v8/ConsumerIdMarshaller.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.052631579
assembly/src/release/bin/activemq,4,11,8,0,0,641,89,109,0,2,4,4,0,2,0,6,0,6,20,,47.68421053
assembly/src/test/resources/org/apache/activemq/usecases/multicast-broker-1.xml,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.736842105
