Class,cxf-2.2,cxf-2.3.0,cxf-2.4.0,cxf-2.5.0,cxf-2.6.0,cxf-2.7.0,cxf-3.0.0,cxf-3.1.0,cxf-3.2.0,cxf-3.3.0,cxf-3.4.0,cxf-3.5.0,cxf-3.5.3,,average
systests/transports/src/test/resources/org/apache/cxf/systest/http_jetty/jetty-engine.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
systests/cdi/base/src/main/java/org/apache/cxf/systests/cdi/base/BookStoreVersioned.java,0,0,0,0,0,0,0,0,39,0,0,0,0,,3
distribution/src/main/release/samples/jaxws_graalvm/src/main/resources/addNumbers.wsdl,0,0,0,0,0,0,0,0,0,0,0,83,0,,6.384615385
rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/interceptor/TibcoSoapActionInterceptor.java,0,0,0,6,0,0,0,0,0,0,0,0,0,,0.461538462
systests/jaxrs/src/test/java/org/apache/cxf/systest/http/resources/Abost.cxf,0,2,0,0,0,0,0,0,0,0,0,0,0,,0.153846154
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/provider/AtomEntryProvider.java,0,42,0,0,0,0,0,0,0,0,0,0,0,,3.230769231
rt/rs/sse/src/main/java/org/apache/cxf/jaxrs/sse/SseEventSinkContextProvider.java,0,0,0,0,0,0,0,0,0,0,41,0,0,,3.153846154
rt/ws/policy/src/main/java/org/apache/cxf/ws/policy/blueprint/PolicyBPHandler.java,0,0,0,0,0,0,30,0,7,0,0,0,0,,2.846153846
services/sts/systests/basic/src/test/resources/org/apache/cxf/systest/sts/stsclient/cxf-client-name.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
systests/transports/src/test/java/org/apache/cxf/systest/http_jetty/jettyDigestServer.xml,0,0,0,0,0,60,0,0,0,0,0,0,0,,4.615384615
core/src/main/java/org/apache/cxf/common/spi/GeneratedClassClassLoaderCapture.java,0,0,0,0,0,0,0,0,0,0,0,2,0,,0.153846154
rt/frontend/jaxrs/src/test/java/org/apache/cxf/jaxrs/fortest/GenericEntityImpl3.java,0,0,39,0,0,0,0,0,0,0,0,0,0,,3
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/cors/CrossOriginSimpleTest.java,0,0,0,0,192,2,67,0,29,18,0,0,0,,23.69230769
systests/transports/src/test/resources/org/apache/cxf/systest/servlet/spring.xml,0,0,0,0,0,0,0,0,3,0,0,0,0,,0.230769231
rt/management/src/main/java/org/apache/cxf/management/interceptor/PersistOutInterceptor.java,0,0,0,2,0,0,0,0,0,0,0,0,0,,0.153846154
rt/core/src/main/java/org/apache/cxf/service/factory/AbstractServiceFactoryBean.java,0,51,0,4,0,0,0,0,0,0,0,0,0,,4.230769231
tools/javato/ws/src/test/java/org/apache/cxf/tools/fortest/simple/Caculator.java,0,0,33,0,0,0,0,0,0,0,0,0,0,,2.538461538
services/sts/systests/advanced/src/test/resources/org/apache/cxf/systest/sts/claims/cxf-client.xml,0,0,0,0,0,26,28,0,2,0,0,0,0,,4.307692308
rt/rs/security/oauth-parent/oauth2-saml/src/main/java/org/apache/cxf/rs/security/oauth2/saml/SamlOAuthValidator.java,0,0,0,0,0,0,34,0,0,0,0,0,0,,2.615384615
distribution/src/main/release/samples/ws_security/sign_enc_policy/src/main/resources/ServiceConfigStax.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
systests/ws-security/src/test/resources/org/apache/cxf/systest/ws/security/https_config.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
rt/databinding/aegis/src/test/java/org/apache/cxf/aegis/type/TypeCreationOptionsSpringTest.java,59,0,0,0,0,0,0,0,0,0,0,0,0,,4.538461538
rt/ws/security/src/test/java/org/apache/cxf/ws/security/wss4j/encrypted_parts_policy_header_and_body.xml,0,41,0,0,0,0,0,0,0,0,0,0,0,,3.153846154
rt/rs/security/oauth-parent/oauth2/src/main/java/org/apache/cxf/rs/security/oauth2/client/OAuthClientUtils.java,0,0,0,0,0,43,98,2,0,0,0,0,0,,11
systests/jaxws/src/test/java/org/apache/cxf/systest/dispatch/DispatchClientServerWithHugeResponseTest.java,0,0,134,0,0,0,2,0,0,9,0,0,0,,11.15384615
tools/javato/ws/src/test/java/org/apache/cxf/tools/fortest/exception/Echo2Impl.java,0,0,0,0,0,0,37,0,0,0,0,0,0,,2.846153846
systests/jaxws/src/test/java/org/apache/cxf/systest/handlers/CustomSoapFault.java,0,0,0,0,0,0,31,0,0,0,0,0,0,,2.384615385
distribution/src/main/release/samples/jax_rs/spring_boot/pom.xml,0,0,0,0,0,0,0,0,18,0,0,0,0,,1.384615385
systests/src/test/java/org/apache/cxf/systest/http/resources/Gordy.cxf,2,0,0,0,0,0,0,0,0,0,0,0,0,,0.153846154
rt/transports/http-hc/src/main/java/org/apache/cxf/transport/http/asyncclient/AsyncHTTPConduit.java,0,0,0,0,0,0,82,46,92,6,34,2,0,,20.15384615
rt/ws/policy/src/test/java/org/apache/cxf/ws/policy/PolicyEngineImplInitTest.java,0,0,59,0,0,0,0,0,0,0,0,0,0,,4.538461538
core/src/main/java/org/apache/cxf/annotations/FactoryType.java,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
common/common/src/main/java/org/apache/cxf/staxutils/StaxSource.java,0,0,0,4,0,0,0,0,0,0,0,0,0,,0.307692308
rt/management/src/test/resources/managed-spring-twobuses2.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
integration/cdi/src/main/java/org/apache/cxf/cdi/event/DisposableCreationalContext.java,0,0,0,0,0,0,0,0,0,34,0,0,0,,2.615384615
core/src/main/java/org/apache/cxf/attachment/HeaderSizeExceededException.java,0,0,0,0,0,0,0,0,0,40,0,0,0,,3.076923077
systests/ws-specs/src/test/java/org/apache/cxf/systest/ws/addr_feature/FaultToEndpointServer.java,0,0,0,0,0,266,0,0,0,0,0,0,0,,20.46153846
systests/ws-specs/src/test/java/org/apache/cxf/systest/ws/rm/persistent-message-loss-server.xml,0,2,0,0,0,0,0,0,0,0,0,0,0,,0.153846154
distribution/src/main/release/samples/jms-spec-demo/README.txt,0,0,0,4,0,0,0,0,0,0,0,0,0,,0.307692308
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/websocket/JAXRSClientServerWebSocketSpringWebAppTest.java,0,0,0,0,0,0,0,19,0,0,0,0,0,,1.461538462
rt/ws/security/src/test/java/org/apache/cxf/ws/security/wss4j/signed_x509_issuer_serial.xml,0,51,0,0,0,0,0,0,0,0,0,0,0,,3.923076923
systests/rs-security/src/test/resources/org/apache/cxf/systest/jaxrs/security/oidc/oidc-server-jpa.xml,0,0,0,0,0,0,0,0,0,0,12,0,0,,0.923076923
api/src/main/java/org/apache/cxf/wsdl/EndpointReferenceUtils.java,28,198,44,0,0,96,4,0,0,0,0,0,0,,28.46153846
systests/uncategorized/src/test/java/org/apache/cxf/cxf1332/beans.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
rt/frontend/jaxws/src/main/java/org/apache/cxf/jaxws/spi/ProviderImpl.java,0,0,0,0,0,0,7,0,0,0,0,0,0,,0.538461538
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/model/UserApplication.java,0,0,0,0,0,0,0,0,9,0,0,0,0,,0.692307692
rt/javascript/javascript-tests/src/test/java/org/apache/cxf/javascript/AnyTest.java,0,0,0,0,0,0,2,0,0,0,0,0,0,,0.153846154
systests/ws-security/src/test/resources/java_first_policies/UsernamePasswordToken.xml,0,0,0,0,0,0,19,0,0,0,0,0,0,,1.461538462
rt/rs/description/src/main/java/org/apache/cxf/jaxrs/swagger/SwaggerFeature.java,0,0,0,0,0,0,0,7,0,0,0,0,0,,0.538461538
rt/databinding/aegis/src/main/java/org/apache/cxf/aegis/type/basic/BooleanType.java,12,0,0,0,0,0,0,0,0,0,0,0,0,,0.923076923
services/sts/sts-core/src/main/java/org/apache/cxf/sts/QNameConstants.java,0,0,0,0,0,0,2,0,0,0,0,0,0,,0.153846154
rt/rs/client/src/test/java/org/apache/cxf/jaxrs/resources/SuperBookStore.java,0,0,0,0,0,0,0,0,0,0,0,74,0,,5.692307692
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/JAXRSMultipartLocalTransportTest.java,0,0,0,0,0,0,0,0,0,0,0,88,0,,6.769230769
rt/bindings/soap/src/test/java/org/apache/cxf/binding/soap/interceptor/cxf5493.xml,0,0,0,0,0,0,8,0,0,0,0,0,0,,0.615384615
rt/transports/local/src/main/java/org/apache/cxf/transport/local/LocalTransportFactory.java,0,15,0,26,5,5,1,0,0,0,0,0,0,,4
systests/src/test/java/org/apache/cxf/systest/ws/addr_wsdl/WSAPureWsdlTest.java,0,21,0,0,0,0,0,0,0,0,0,0,0,,1.615384615
rt/ws/policy/src/main/java/org/apache/cxf/ws/policy/attachment/external/PolicyAttachment.java,0,0,0,0,0,0,17,0,0,0,0,0,0,,1.307692308
rt/databinding/aegis/src/main/java/org/apache/cxf/aegis/type/java5/AnnotationReader.java,11,65,98,0,0,0,0,27,19,0,0,0,0,,16.92307692
systests/ws-specs/src/test/java/org/apache/cxf/systest/ws/rm/sync-ack-persistent-server.xml,0,0,0,0,55,0,0,0,0,0,0,0,0,,4.230769231
systests/jaxws/src/test/java/org/apache/cxf/systest/jaxws/cxf5064/SOAPHeaderServiceImpl.java,0,0,0,0,0,0,38,0,0,0,0,0,0,,2.923076923
tools/javato/ws/src/test/java/org/apache/cxf/tools/fortest/exception/Echo3.java,0,0,0,0,0,0,27,0,0,0,0,0,0,,2.076923077
rt/databinding/jaxb/src/main/java/org/apache/cxf/jaxb/WrapperHelperCompiler.java,0,16,0,0,0,0,24,0,0,0,0,0,0,,3.076923077
systests/jibx/databinding-jibx/src/test/resources/wsdl_systest_databinding/jibx/doc_lit_bare.wsdl,0,0,0,0,0,0,0,114,0,0,0,0,0,,8.769230769
distribution/src/main/release/samples/js_browser_client_java_first/src/main/resources/cxf.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
rt/frontend/jaxrs/src/test/java/org/apache/cxf/jaxrs/spring/SpringResourceFactoryTest.java,0,0,0,0,0,0,0,0,17,0,0,0,0,,1.307692308
distribution/src/main/release/samples/jax_rs/graalvm_basic/src/main/java/demo/jaxrs/server/Product.java,0,0,0,0,0,0,0,0,0,0,0,43,0,,3.307692308
rt/javascript/javascript-rt/src/test/java/org/apache/cxf/javascript/fortest/AegisService.java,0,0,0,0,34,0,0,0,0,0,0,0,0,,2.615384615
core/src/test/java/org/apache/cxf/bus/spring/bus.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/BookInterface.java,0,0,0,0,0,0,0,4,0,0,0,0,0,,0.307692308
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/springmvc/SpringViewResolverProvider.java,0,0,0,0,0,0,0,0,0,136,0,0,0,,10.46153846
common/common/src/main/java/org/apache/cxf/common/xmlschema/XmlSchemaUtils.java,0,27,0,0,39,0,0,0,0,0,0,0,0,,5.076923077
distribution/src/main/release/samples/js_browser_client_java_first/pom.xml,1,0,0,0,0,0,0,0,0,0,0,0,0,,0.076923077
rt/rs/security/jose-parent/jose/src/main/java/org/apache/cxf/rs/security/jose/jws/JwsCompactConsumer.java,0,0,0,0,0,0,0,0,6,0,0,0,0,,0.461538462
distribution/src/main/release/samples/integration/jca/outbound.was61/build.xml,154,0,0,0,0,0,0,0,0,0,0,0,0,,11.84615385
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/security/SecureBookStoreNoAnnotations.java,0,0,0,0,0,0,0,4,0,0,0,0,0,,0.307692308
common/common/src/test/java/org/apache/cxf/resource/URIResolverTest.java,0,66,0,0,0,0,0,0,0,0,0,0,0,,5.076923077
rt/transports/http/src/main/java/org/apache/cxf/transport/servlet/CXFServlet.java,35,28,0,18,23,0,30,0,0,0,23,0,0,,12.07692308
systests/uncategorized/src/test/java/org/apache/cxf/systest/jaxws/DocLitWrappedCodeFirstServiceImpl.java,0,8,0,0,0,0,0,0,0,0,0,0,0,,0.615384615
services/xkms/xkms-x509-repo-ldap/src/test/java/org/apache/cxf/xkms/x509/repo/ldap/LDAPSearchTest.java,0,0,0,0,0,0,0,0,0,0,51,0,0,,3.923076923
systests/ws-specs/src/test/java/org/apache/cxf/systest/ws/rm/RobustServiceAtMostOnceTest.java,0,0,0,0,132,0,0,0,0,0,0,0,0,,10.15384615
services/sts/systests/advanced/src/test/resources/org/apache/cxf/systest/sts/kerberos/cxf-service.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
rt/ws/security/src/main/java/org/apache/cxf/ws/security/policy/interceptors/SecureConversationInInterceptor.java,0,2,12,4,0,0,5,77,6,0,0,0,0,,8.153846154
core/src/main/java/org/apache/cxf/annotations/EndpointProperty.java,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
rt/rs/sse/src/main/java/org/apache/cxf/jaxrs/sse/client/SseEventSourceImpl.java,0,0,0,0,0,0,0,0,0,0,16,24,0,,3.076923077
rt/core/src/test/java/org/apache/cxf/bus/spring/BusApplicationContextTest.java,15,0,0,0,0,0,0,0,0,0,0,0,0,,1.153846154
rt/features/metrics/src/main/java/org/apache/cxf/metrics/micrometer/provider/jaxws/JaxwsFaultCodeProvider.java,0,0,0,0,0,0,0,0,0,0,0,9,0,,0.692307692
rt/javascript/javascript-rt/src/test/java/org/apache/cxf/javascript/fortest/SimpleRPCImpl.java,0,0,0,0,78,0,0,0,0,0,0,0,0,,6
maven-plugins/codegen-plugin/src/it/mark-generated/verify.groovy,0,0,0,0,0,0,0,0,0,52,0,0,0,,4
rt/databinding/aegis/src/main/java/org/apache/cxf/aegis/xml/stax/ElementReader.java,14,2,0,0,0,0,0,0,0,0,0,0,0,,1.230769231
rt/databinding/aegis/src/test/java/org/apache/cxf/aegis/services/BeanWithDOM.java,0,78,0,0,0,0,0,0,0,0,0,0,0,,6
rt/frontend/simple/src/main/java/org/apache/cxf/frontend/ClientProxy.java,0,0,0,6,0,0,0,0,0,0,0,0,0,,0.461538462
